PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,HitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUUID,yt_RelSpeed,yt_RelHeight,yt_RelSide,yt_VertRelAngle,yt_HorzRelAngle,yt_ZoneSpeed,yt_PlateLocHeight,yt_PlateLocSide,yt_VertApprAngle,yt_HorzApprAngle,yt_ZoneTime,yt_HorzBreak,yt_InducedVertBreak,yt_OutOfPlane,yt_FSRI,yt_EffectiveSpin,yt_GyroSpin,yt_Efficiency,yt_SpinComponentX,yt_SpinComponentY,yt_SpinComponentZ,yt_HitVelocityX,yt_HitVelocityY,yt_HitVelocityZ,yt_HitLocationX,yt_HitLocationY,yt_HitLocationZ,yt_GroundLocationX,yt_GroundLocationY,yt_HitBreakX,yt_HitBreakY,yt_HitBreakT,yt_HitSpinComponentX,yt_HitSpinComponentY,yt_HitSpinComponentZ,yt_SessionName,Note,yt_PitchSpinConfidence,yt_PitchReleaseConfidence,yt_HitSpinConfidence,yt_EffectiveBattingSpeed,yt_ReleaseAccuracy,yt_ZoneAccuracy,yt_SeamLat,yt_SeamLong,yt_ReleaseDistance,Catcher,CatcherId,CatcherTeam,yt_AeroModel,category,date_display,sin_axis,cos_axis,predicted
1,08/26/2024,1:16:56 PM,,,Camden Anders,,Left,Georgia tech,,,,,,,,,,,Fastball,,,,,,,,,61.06467456039074,4.847547099298892,-2.402520206006185,1146.680135091146,298.2260680499106,4:00,1.7582001267706089,-0.1201475591848387,5.999999999999997,-35.633838297256794,-2.3878465431256544,6.422435616951832,1.80912377524842,-1.0778960776002349,56.35609957986717,-5.082840476735091,-0.6087873318396679,0.4149933799754814,,,,,,,,,,,,-8.336960358344017,-4.477460888646648,-0.4896273633027603,50.00000000000004,0.2977408210256386,4.7347278238059305,-91.53321667081396,12.731556083411988,-6.906568917540144,16.474457799353296,-35.883302224112704,,,,,,66f01742-931f-4908-b9d7-49c56842d81b,418c9365-6b89-40f6-9fda-3b6f775b047f,61.13281464152688,1.7524184060161403,-0.1207730567037065,4.949675634482131,-2.39114524424078,56.39318626913536,1.8136463227698765,-1.077504287936507,-4.984216823243777,-0.6002958198221998,0.4149328436791165,6.349722002459324,-3.8678555261636247,53.29378988271451,,685.3845214412,919.3059283946048,59.77120388387307,0.2826889162042855,0.8017108697200305,-0.5266371217717174,,,,,,,,,,,,,,,,,1.0,0.0,,,high,high,,,37.00000137600001,,,,2022-11,BP,08/26/2024 - BP,-0.8810883628760405,0.47295168548639177,False
3,08/26/2024,1:17:54 PM,,,Camden Anders,,Left,Georgia tech,,,,,,,,,,,Fastball,,,,,,,,,61.02267235860253,9.126707114410124,1.7932689456475104,1149.5587263436153,305.1156892939682,4:15,1.9630642686794768,-0.679950035092312,5.999999999999997,-37.12580556305424,-3.2133971899737688,6.44074187124763,4.588588005783718,0.9708454126676644,55.66977887399759,-1.1705312962470664,3.590295778187788,0.4191320187119479,,,,,,,,,,,,-6.893255587849907,-6.988651937010478,1.0225176514387793,50.00000000000004,-0.4979121505650326,-1.9521629317677327,-90.6978167829173,19.693478920384266,-5.598765165620255,16.347631367745734,-37.85029653795485,,,,,,66f01742-931f-4908-b9d7-49c56842d81b,79ea5f4b-4368-4715-b854-503a8a9616db,61.09816137231811,1.956818128361383,-0.6804013225951205,9.236205555010711,1.80156340131644,55.711226593771535,4.593601998268377,0.9711227316544032,-1.0625612479559077,3.5961516784396954,0.4190736685163262,6.387609381098381,-4.786264780100431,45.19653191328471,,810.0677712278538,815.6442063367411,70.46771536452292,0.405350920650882,0.7095280890355631,-0.5764204385663508,,,,,,,,,,,,,,,,,1.0,0.0,,,high,high,,,37.00000137600001,,,,2022-11,BP,08/26/2024 - BP,-0.8179922331589465,0.5752292642865448,False
18,08/26/2024,1:24:38 PM,,,Camden Anders,,Left,Georgia tech,,,,,,,,,,,Fastball,,,,,,,,,61.023162811388325,5.462739914213837,0.5152661301068777,993.0935997596154,289.76380791625115,3:45,1.8783591624115672,-0.6925343331914482,5.999999999999997,-34.40366720170172,-1.0536667824369914,7.190627797715121,2.4144564579652688,0.2266974560070213,56.19864316805771,-4.133142333599256,2.525117367288366,0.4156420175944778,,,,,,,,,,,,-8.216640412496224,-3.1696847000761705,0.7375530284368779,49.99999999999997,0.2911023896931492,0.1758352827418025,-91.50140987198462,13.529361872159884,-6.786483386660674,16.745343096769712,-34.79203108185621,,,,,,66f01742-931f-4908-b9d7-49c56842d81b,11b7b2a5-0e31-432a-ab75-d98a337d5b5b,61.09919919089042,1.872908241757852,-0.6924900317314855,5.557522722291768,0.5146069171723486,56.24256811712361,2.418661974819276,0.2265956100566364,-4.041480705778356,2.522846677147418,0.4155739089942839,7.193787246900055,-2.546736879158685,47.16423535532905,,675.2035127861459,728.241109938707,67.9899168567377,0.2299035019022751,0.7333056119936554,-0.6398494035565566,,,,,,,,,,,,,,,,,1.0,0.0,,,high,high,,,37.00000137600001,,,,2022-11,BP,08/26/2024 - BP,-0.941094552159536,0.33814352558587074,False
19,08/26/2024,1:24:57 PM,,,Camden Anders,,Left,Georgia tech,,,,,,,,,,,Fastball,,,,,,,,,61.259365172480265,4.709925076704724,-2.2488315225068507,1193.488074408637,308.8327357226982,4:15,1.5615983423237838,-0.2036825758771485,5.999999999999997,-36.75562091253821,-3.7335063739037153,6.024243250133694,1.4325777201219188,-1.0990085067847604,56.58064984967539,-5.533011452385559,-0.5659383538105551,0.4135937450829878,,,,,,,,,,,,-7.820556861523137,-6.005909764905582,-0.3671566805025629,49.99999999999998,0.1215996729090504,4.448892541567569,-91.85997257583284,12.708840900603407,-6.522809543426207,16.635715863615143,-37.183335526266525,,,,,,66f01742-931f-4908-b9d7-49c56842d81b,c7fcc993-d795-4e38-b38e-7dc96faa45ed,61.32036744383357,1.555445651699262,-0.2044952268244104,4.81958185157124,-2.2340371407889865,56.610404056886495,1.4374018420426289,-1.0984643213541814,-5.428869885741562,-0.5542193658056586,0.4135413596670674,5.930100421211014,-5.255634304524978,51.746682925080215,,738.9354986085374,937.2236193416106,61.913940696447554,0.3882307341153317,0.7852810928219763,-0.482297110031351,,,,,,,,,,,,,,,,,1.0,0.0,,,high,high,,,37.00000137600001,,,,2022-11,BP,08/26/2024 - BP,-0.7789798300773053,0.6270489808083037,False
20,08/26/2024,1:25:19 PM,,,Camden Anders,,Left,Georgia tech,,,,,,,,,,,Fastball,,,,,,,,,60.39784810657198,3.694239780183476,-3.110691447216574,972.8598095121838,289.5402612968059,3:45,1.9491115763169748,-0.1072154877199466,5.999999999999997,-34.39167801572851,-0.4636288624334668,3.942398350519695,1.3840071807597598,-1.712466219920411,55.888030271590594,-5.884345384640791,-2.0108974533348976,0.4192286617461782,,,,,,,,,,,,-5.688421445329589,-1.830215379474742,-0.6387591400895809,50.0,0.7640474299493213,5.4681602396291815,-90.62050400602313,10.599757404791225,-4.617772202397315,16.17780877419294,-33.65979001240204,,,,,,66f01742-931f-4908-b9d7-49c56842d81b,97e25acf-06ed-4a15-969f-e09bc6946ab9,60.47542438335996,1.94414885361027,-0.1088588310572675,3.78191833894988,-3.08108689517358,55.93581384743696,1.3880817844298718,-1.7113136548872674,-5.796262594361816,-1.9860390106004555,0.4191516547863355,3.754674259021268,-1.8870618911321475,69.52019883344131,,340.3814063324392,911.3707846904208,34.98771385191818,0.1170231138764235,0.93679559560324,-0.3297265577369167,,,,,,,,,,,,,,,,,1.0,0.0,,,high,high,,,37.00000137600001,,,,2022-11,BP,08/26/2024 - BP,-0.9424066949113903,0.3344691635804259,False
21,08/26/2024,1:25:39 PM,,,Camden Anders,,Left,Georgia tech,,,,,,,,,,,Fastball,,,,,,,,,59.90212615809575,6.086569179540563,0.0016859403992913,1325.8819560389363,296.5582651123858,4:00,1.885962049699133,-0.8638019623111773,5.999999999999997,-36.41482802339263,-1.750346698006041,6.399495594510871,2.6457181379557504,-0.3294635885487383,55.10784030214462,-4.065106855389801,1.7907379435057853,0.4237540633143984,,,,,,,,,,,,-7.474630888172393,-4.19142357541067,0.8001540429027487,50.00000000000001,0.1353948275494552,0.8695111870633617,-89.71019555037013,14.528755607076992,-5.939260099612221,15.997665455531935,-35.504508999240315,,,,,,66f01742-931f-4908-b9d7-49c56842d81b,23674718-0fb7-48b0-b2d9-790ab6fc79f4,59.97525703124382,1.8801107986174288,-0.864781511000319,6.189764290380508,0.019478545349401,55.14857842409991,2.650355897427956,-0.32881609212641,-3.964373016175335,1.8046845423689784,0.4236887011944774,6.28641974804007,-3.3101541540062427,55.50565573430337,,750.8799350639216,1092.7681750801662,56.632487654268296,0.253208188735319,0.8241821001507585,-0.5065663618406419,,,,,,,,,,,,,,,,,1.0,0.0,,,high,high,,,37.00000137600001,,,,2022-11,BP,08/26/2024 - BP,-0.8944801523343697,0.4471076571474512,False
22,08/26/2024,1:25:53 PM,,,Camden Anders,,Left,Georgia tech,,,,,,,,,,,Fastball,,,,,,,,,59.40669545840209,10.383508470433156,1.0414488510095317,1196.6375712076822,315.6528885012083,4:30,1.8149975300713708,-0.4829512856773378,5.999999999999997,-41.10254984039745,-5.12716787427329,5.905881927222336,4.911039682866686,0.6560648132029441,54.04452307935357,-0.9832406277517516,2.689804298400499,0.4316922274247026,,,,,,,,,,,,-6.540704986755131,-9.606805987466824,0.6600635233294764,49.99999999999996,-0.9795593212373268,-0.8079619092250706,-87.95114166575189,21.62273332429266,-5.007174776674098,15.10905486579729,-39.52844895460837,,,,,,66f01742-931f-4908-b9d7-49c56842d81b,718becaa-c7bd-4464-b282-53dc378eb457,59.472971064775706,1.807636497080216,-0.4837283216076846,10.511466819830042,1.055613138288073,54.07357536869802,4.9166666103209,0.6565897934412597,-0.8609909942637853,2.701109254861469,0.4316476488889686,5.815910618436525,-6.806981820588104,41.42907250258135,,897.2094279106597,791.805985891776,74.97754119529853,0.5361780574887326,0.6616923995564187,-0.5240956582885209,,,,,,,,,,,,,,,,,1.0,0.0,,,high,high,,,37.00000137600001,,,,2022-11,BP,08/26/2024 - BP,-0.6990035281676914,0.7151182193239937,False
23,08/26/2024,1:26:05 PM,,,Camden Anders,,Left,Georgia tech,,,,,,,,,,,Fastball,,,,,,,,,57.92012987014573,5.153748465145721,0.031125518501847,1150.674897370515,304.369342203415,4:15,1.908481239866597,-0.6327438972005746,5.999999999999997,-38.77763934223338,-1.8131001919377,5.051329285424805,1.8863886099532423,-0.1924693771930296,53.47848300215364,-5.657216543233787,1.4435547074764572,0.4375867573111409,,,,,,,,,,,,-5.8894045832104105,-3.937302503989402,0.5892749174145976,50.00000000000002,0.3480554223023447,0.619388433045445,-86.885101805642,12.953662224429872,-4.388526705744145,15.03191436805233,-35.107955202980335,,,,,,66f01742-931f-4908-b9d7-49c56842d81b,0a335f19-5e7d-477c-98c5-ede937016385,57.98875951339965,1.9024141285222864,-0.6344774251899803,5.26031646434099,0.0622972283718167,53.51435581358747,1.8911902399094087,-0.1912642395773827,-5.553599229936749,1.469519709676781,0.4375200260664276,4.854284203553003,-3.4581881734871533,60.82042549967597,,561.0097395564368,1004.6495864536372,48.75484299157287,0.2752334827812633,0.8730959446055787,-0.4024301199828216,,,,,,,,,,,,,,,,,1.0,0.0,,,high,high,,,37.00000137600001,,,,2022-11,BP,08/26/2024 - BP,-0.825415682401809,0.5645254212567898,False
4,08/26/2024,1:18:52 PM,,,Camden Anders,,Left,Georgia tech,,,,,,,,,,,Riseball,,,,,,,,,61.63441046945293,7.812544521097095,1.3746343684294833,1129.4116891043527,309.1256328064598,4:15,1.5015464403000054,-0.6790096847090774,5.999999999999997,-36.19153421672617,-3.1929054982907914,5.498942017252771,3.369238260373811,0.6331110010618126,56.43307781302488,-2.252556685048224,2.910059131187152,0.4134466419038775,,,,,,,,,,,,-5.941187154833798,-6.487456508584171,0.9359332101275336,50.0,-0.6448337200419184,-1.4379472198897576,-91.93537184729892,17.67352848303628,-4.959059422327289,16.772173585876132,-37.58907548695275,,,,,,66f01742-931f-4908-b9d7-49c56842d81b,93a963a8-7dd3-4f77-862a-dc82c84304ab,61.70899504931242,1.4954515133625848,-0.6799151778085407,7.918831231672627,1.3910295494952083,56.47430252808928,3.374003440519552,0.633715675479055,-2.1491266240279088,2.923015107683919,0.4133876309606266,5.3948068233406055,-4.719105860320937,50.44092793192232,,719.2922879053605,870.7407008090406,63.68734225477819,0.4018817328282896,0.7709683804490782,-0.4940635881813764,,,,,,,,,,,,,,,,,1.0,0.0,,,high,high,,,37.00000137600001,,,,2022-11,BP,08/26/2024 - BP,-0.7757641796464023,0.6310229295180521,False
5,08/26/2024,1:19:11 PM,,,Camden Anders,,Left,Georgia tech,,,,,,,,,,,Riseball,,,,,,,,,60.83164178641424,9.130344858153826,1.2715526894108409,1278.9042989796608,287.64482003103706,3:30,1.8920334795292737,-0.6756688621513314,5.999999999999997,-34.60593940017044,-0.4785584221807042,6.236645387534288,4.728471143029581,0.6338744395720116,55.43674679371948,-0.4688716411162774,3.013538917433667,0.4204583704332623,,,,,,,,,,,,-6.8350073782461,-3.8159428339919215,0.9018615737296486,49.99999999999999,-0.5438337684910366,-1.1513081160803145,-90.44929465454472,19.29202812621258,-5.516714202412267,16.352521179304027,-35.253997399206085,,,,,,66f01742-931f-4908-b9d7-49c56842d81b,31b6c6d7-f80f-438a-9ad7-02af40b342b2,60.9220505008886,1.8867117311854409,-0.6764404134219262,9.222865010986585,1.285630598490142,55.49401611157361,4.732879935106126,0.6343710412889729,-0.3739049301186536,3.0240451108736,0.4203803421560492,6.146894554704779,-1.9825884647454384,54.80388344453881,,737.1309242342123,1045.1000940035713,57.637692266912566,0.1747087435637802,0.8171839713396664,-0.5492606047295733,,,,,,,,,,,,,,,,,1.0,0.0,,,high,high,,,37.00000137600001,,,,2022-11,BP,08/26/2024 - BP,-0.9529538451782902,0.30311543833977056,False
