PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,HitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUUID,yt_RelSpeed,yt_RelHeight,yt_RelSide,yt_VertRelAngle,yt_HorzRelAngle,yt_ZoneSpeed,yt_PlateLocHeight,yt_PlateLocSide,yt_VertApprAngle,yt_HorzApprAngle,yt_ZoneTime,yt_HorzBreak,yt_InducedVertBreak,yt_OutOfPlane,yt_FSRI,yt_EffectiveSpin,yt_GyroSpin,yt_Efficiency,yt_SpinComponentX,yt_SpinComponentY,yt_SpinComponentZ,yt_HitVelocityX,yt_HitVelocityY,yt_HitVelocityZ,yt_HitLocationX,yt_HitLocationY,yt_HitLocationZ,yt_GroundLocationX,yt_GroundLocationY,yt_HitBreakX,yt_HitBreakY,yt_HitBreakT,yt_HitSpinComponentX,yt_HitSpinComponentY,yt_HitSpinComponentZ,yt_SessionName,Note,yt_PitchSpinConfidence,yt_PitchReleaseConfidence,yt_HitSpinConfidence,yt_EffectiveBattingSpeed,yt_ReleaseAccuracy,yt_ZoneAccuracy,yt_SeamLat,yt_SeamLong,yt_ReleaseDistance,Catcher,CatcherId,CatcherTeam,yt_AeroModel
1,10/18/24,5:00:21 PM,1,1,Sophia Voyles,voyleso10,,Georgia tech,Aria Davis,,Right,Jacksonville state,,1,Top,0,0,0,Curveball,,StrikeCalled,,,,,,,60.68837094618587,2.8868872303464355,-1.521008494,1561.8606363932295,132.53343788137136,10:30,1.9712268150288412,1.1333940119882604,5.0775409499043755,-27.00968157,8.950228046587704,-7.550169627,2.1729820076993893,-0.360115785,55.437032459696844,-3.29737083,-3.681081199,0.42805385394521744,,,,,,,,,,,,8.045116811196586,8.824764613630721,-1.390812756,49.99999999999999,1.1448079506292452,1.4763731213429492,-91.11164514,7.832208565218878,6.581037114026654,16.736971113399793,-24.95524782,Georgia Tech,Jacksonville State,,,,849b1b18-8aad-4bb4-ac2f-fbc79477ec04,8a34e9b1-0f14-4208-a0a1-cedb1c87644d,60.795451104204425,1.9689589151882207,1.1327565880491246,2.9233283104394365,-1.510485651,55.522328279964086,2.1751707148694983,-0.359588138,-3.250304076,-3.669917193,0.42792889271171664,-7.610117154,7.639431342519092,-44.68157291,,1110.5229794332693,-1098.247404,71.10256533500811,-0.480667824,-0.703166069,0.5239426710636043,,,,,,,,,,,,,,,,,1,1,,,high,high,,,37.922460426095626,Reese Hunter,huntere10,Georgia tech,2022-11
2,10/18/24,5:00:38 PM,1,1,Sophia Voyles,voyleso10,,Georgia tech,Aria Davis,,Right,Jacksonville state,,1,Top,0,0,0,Riseball,,BallCalled,,,,,,,62.96485083,2.3849631272520866,2.0704638815268264,925.5894775390624,155.0455811898693,11:15,1.8022795814840775,0.5759755514918191,5.308532493896934,-24.20636238,8.228287956,-3.251172171,1.7271938490736678,1.1248151986714185,57.970520119918135,-3.413002018,-0.104790585,0.4093839440381884,,,,,,,,,,,,4.521396829755305,8.204744106792315,-0.101813989,50.000000000000014,1.079075642478185,-3.860065687,-94.52673641,7.128921556379062,3.9941164183491966,17.58722686907142,-24.92613387,Georgia Tech,Jacksonville State,,,,849b1b18-8aad-4bb4-ac2f-fbc79477ec04,a2cc0682-db3f-442a-a763-1672d4c25b9a,63.07551126021063,1.8003995592636712,0.5765010070270803,2.4153721338708536,2.0615464455711616,58.06019487593686,1.7289713874467088,1.1244925566904993,-3.37426077,-0.111619406,0.40926373564194524,-3.191730611,7.141124205592431,-46.92909554,,632.0877332193415,-676.1515943,68.29028943802633,-0.619149614,-0.730509163,0.2881147659611965,,,,,,,,,,,,,,,,,1,1,,,high,high,,,37.69146888210307,Reese Hunter,huntere10,Georgia tech,2022-11
3,10/18/24,5:00:57 PM,1,2,Sophia Voyles,voyleso10,,Georgia tech,Aria Davis,,Right,Jacksonville state,,1,Top,0,1,0,Curveball,,StrikeSwinging,,,,,,,61.68389865273034,1.7301234959088085,-0.087297539,1633.6463012695315,142.21363543081205,10:45,1.8538248297879552,0.7738483121020817,5.293731987687455,-24.55794184,9.122913814367234,-6.191056229,1.2364811640135596,-0.010084539,56.54170517552195,-4.458485872,-2.415165822,0.41769865849943894,,,,,,,,,,,,6.933427989477877,9.657444275701678,-0.739279284,49.99999999999997,1.2710611223126382,-0.652749183,-92.7095133,5.949904597997986,5.888194505617017,16.990817544843974,-23.9724918,Georgia Tech,Jacksonville State,,,,849b1b18-8aad-4bb4-ac2f-fbc79477ec04,dbaebb9e-c3ae-4401-99a5-c22f46179e3d,61.790907548892505,1.8519321634550765,0.7738008480493894,1.760656696608555,-0.086597319,56.62717554001723,1.238361408371274,-0.00998225,-4.418015861,-2.41295002,0.4175782171232366,-6.194031011,8.012762793705171,-48.31807242,,1086.3663099504618,-1220.085439,66.49948089168566,-0.525545964,-0.746847979,0.40745494947669353,,,,,,,,,,,,,,,,,1,1,,,high,high,,,37.70626938831255,Reese Hunter,huntere10,Georgia tech,2022-11
4,10/18/24,5:01:21 PM,1,4,Sophia Voyles,voyleso10,,Georgia tech,Aria Davis,,Right,Jacksonville state,,1,Top,0,1,2,Curveball,,StrikeSwinging,Strikeout,,StrikeoutSwinging,1,0,,61.24616905334761,3.764164912649654,-0.692788334,1083.3090591430664,107.41380403026241,9:30,1.7388191715037722,0.9412888439014957,3.194351183819218,-34.17508108,4.294129502330662,-6.437493766,1.9174682689583575,-0.559781616,56.28178272,-3.915894789,-3.580235998,0.4470828509338665,,,,,,,,,,,,6.505925989197983,2.721870983538627,-1.029240595,50,0.8855261153631603,0.4790852178298639,-91.52150144,9.265449666753469,5.372545659,16.828710757542442,-29.92634862,Georgia Tech,Jacksonville State,,,,849b1b18-8aad-4bb4-ac2f-fbc79477ec04,01b1bb1f-c326-4ee5-9316-7602ff912e50,61.354678268599265,1.7337646698607423,0.9420676806104336,3.8388419370825666,-0.704713728,56.36134384334175,1.92136756,-0.560207216,-3.836323591,-3.588709212,0.44695613194206346,-6.352477542,2.634986855209849,-60.04225057,,540.9625538,-938.5723377,49.93612388212394,-0.14944418,-0.866393879,0.47647464145464913,,,,,,,,,,,,,,,,,1,1,,,high,high,,,39.805650192180785,Reese Hunter,huntere10,Georgia tech,2022-11
5,10/18/24,5:01:52 PM,1,4,Sophia Voyles,voyleso10,,Georgia tech,Aria Davis,,Right,Jacksonville state,,1,Top,1,0,0,Curveball,,StrikeSwinging,,,,,,,61.989931717264604,3.0114503856226658,0.6133858760780102,1788.0563005719866,131.43663520362696,10:30,1.9626794592291177,1.1154605437873428,5.999999999999997,-25.06747095,7.542684876864115,-6.522937688,2.3707830858617798,0.4441563308841694,56.73744971589846,-2.758271321,-2.630768474,0.407737431,,,,,,,,,,,,8.086288162,7.347630098039048,-0.908852139,50.00000000000002,1.0295806880190912,-1.952544051,-93.22574873,8.431456432208366,6.939920470818936,17.25427359270119,-25.86806994,Georgia Tech,Jacksonville State,,,,849b1b18-8aad-4bb4-ac2f-fbc79477ec04,8592e65b-f3c3-4315-9820-cc3a4f3b45cd,62.08971269809182,1.9604365661921501,1.1154000083952782,3.049868440632066,0.61435152,56.819347690941036,2.372890457,0.4442753292203811,-2.712134523,-2.628134402,0.4076298889187264,-6.523417331,6.377425683772529,-51.70953238,,1107.9663197008713,-1403.408696,61.964845253834596,-0.410077989,-0.784879478,0.4645430526219171,,,,,,,,,,,,,,,,,1,0,,,high,high,,,37.00000137600001,Reese Hunter,huntere10,Georgia tech,2022-11
6,10/18/24,5:02:10 PM,1,5,Sophia Voyles,voyleso10,,Georgia tech,Aria Davis,,Right,Jacksonville state,,1,Top,1,0,1,Riseball,,Foul,,,,,,,62.65634057107776,3.498826489496769,0.6493031811668841,1662.6504448784722,140.6009252227059,10:45,1.6595263438348347,0.6795995988485544,4.478520839707438,-28.65770181,7.401562466470402,-4.717257568,2.1130670877521833,0.7798788482839126,56.15077107801586,-3.057239585,-0.332671529,0.42153180460382095,49.310868417840865,67.81480883244498,70.84485894543771,2320.299971147017,,,,84.59576981122692,,85.00850591037666,4.002301651865063,5.490739404907164,6.676398069099372,-0.514483628,49.999999999999986,0.7641967645383747,-1.630455844,-93.88721946,8.869114717871646,4.778273764,17.531503171710575,-26.36396548,Georgia Tech,Jacksonville State,,,,849b1b18-8aad-4bb4-ac2f-fbc79477ec04,162ee7a3-b0e7-41a4-ac67-6e5f3ecb1ae1,62.77283021,1.6568200823207995,0.680665717,3.5399928040162862,0.6322848399852921,56.240487360638014,2.115672661556308,0.7790504483859576,-3.00253637,-0.349641154,0.4214029067317257,-4.576986817,6.081872367072299,-59.50936788,,843.6246318195732,-1432.726067,50.73974715600765,-0.392088262,-0.861712136,0.32205432605002676,17.588941331413363,6.1096806074506045,45.660296646393526,-0.661598293,0.9372533950321124,2.033512641683111,84.27495100646094,7.360496098273565,-0.498835359,-22.95821895,0.089597815,0.7128001245442475,-0.20670408,-0.67021594,,,1,1,1,16.724898753094614,high,high,,,38.521480536292565,Reese Hunter,huntere10,Georgia tech,2022-11
7,10/18/24,5:02:40 PM,1,6,Sophia Voyles,voyleso10,,Georgia tech,Aria Davis,,Right,Jacksonville state,,1,Top,1,0,2,Offspeed,,BallCalled,,,,,,,58.060311993538946,1.7704706486027955,-0.576839102,1479.843276079963,116.84267369950338,10:00,1.7993340988997693,0.9191599936987801,5.147698366918664,-33.2850223,5.420786372764425,-7.436863754,0.47756713722674216,-0.128284224,53.61994985428438,-6.842476187,-2.557375095,0.44582007728213213,,,,,,,,,,,,8.177563741857714,5.396461966948385,-0.97891062,49.99999999999995,1.1491297124751878,-0.009114763,-87.24938906,6.594608816531153,6.143768100170886,15.176307234811375,-28.11971116,Georgia Tech,Jacksonville State,,,,849b1b18-8aad-4bb4-ac2f-fbc79477ec04,2db23ade-a861-4135-bda1-d94faf36e69c,58.15102276047432,1.7952037440199606,0.9197340031484821,1.8377271169834615,-0.586555259,53.68381280482937,0.48111623962971956,-0.128628241,-6.767496752,-2.564545409,0.4457066086578049,-7.365059873,3.898713216,-57.23866024,,800.8037348633467,-1244.447468,54.11409085052837,-0.244347962,-0.840931934,0.48283284513031033,,,,,,,,,,,,,,,,,1,1,,,high,high,,,37.85230300908134,Reese Hunter,huntere10,Georgia tech,2022-11
8,10/18/24,5:02:59 PM,1,7,Sophia Voyles,voyleso10,,Georgia tech,Aria Davis,,Right,Jacksonville state,,1,Top,1,1,2,Curveball,,Foul,,,,,,,62.690535500564906,1.3870062305434299,-0.493370849,1470.391816169985,135.58191258674898,10:30,1.8815562990709895,0.8720537658714197,5.999999999999997,-24.40006243,7.553941092423216,-5.93330617,1.4130166532158053,-0.116191878,57.43321337465355,-4.160030948,-2.803407277,0.40269569574331576,,,,,,,,,,,,6.983917709927686,8.120257551833719,-0.922674698,49.99999999999999,1.3271786927133369,-0.066086655,-94.37850921,5.7188165431397096,6.1447608155336715,17.645819745341967,-25.02948654,Georgia Tech,Jacksonville State,,,,849b1b18-8aad-4bb4-ac2f-fbc79477ec04,69a4465f-3a7b-403b-8d6d-9ac0cc661412,62.78781152749017,1.8795164413403291,0.8720053192797332,1.4224947596991364,-0.492614223,57.512715207900264,1.4150127897038902,-0.116121648,-4.116188861,-2.801814287,0.4025923393194983,-5.928407007,6.437490156043401,-51.6354791,,912.6168703397016,-1152.901792,62.06623706032639,-0.443309197,-0.784077944,0.4343946752161346,,,,,,,,,,,,,,,,,1,0,,,high,high,,,37.00000137600001,Reese Hunter,huntere10,Georgia tech,2022-11
9,10/18/24,5:03:23 PM,1,8,Sophia Voyles,voyleso10,,Georgia tech,Aria Davis,,Right,Jacksonville state,,1,Top,1,1,2,Riseball,,InPlay,,LineDrive,Single,1,0,,62.79332989246877,4.426711707925972,0.020806729804734546,1822.9151020665317,128.79563881647587,10:15,1.7397589530391633,0.6244310819867471,5.339318071846587,-26.88099457,7.267830967903983,-6.627042218,2.703000802972452,-0.117984319,56.400124606539684,-2.39830014,-2.381461157,0.4111066438169769,66.45130937045302,32.88479498495084,-20.30693619,1111.060049874442,-48.20330265,98.87588990558035,42.570001982904714,205.13784312593134,,-30.42902947,3.320269723892711,7.507731158345034,6.339868324183839,-0.562210352,50,0.5622730308674141,-0.904590003,-94.18458203,10.641399402210002,6.5667116803051675,17.805973458112444,-26.62882074,Georgia Tech,Jacksonville State,,,,849b1b18-8aad-4bb4-ac2f-fbc79477ec04,d5ff0eb5-52a5-43ec-8444-57db61410a63,62.90357403525731,1.7371890251940378,0.6244995369153011,4.4676424282364025,0.019556055,56.48447544502611,2.705399650352249,-0.118014794,-2.34631333,-2.382014221,0.41098972763999947,-6.603536625,6.000159727310274,-53.81574064,,1076.2198102913144,-1471.31587,59.03839455119261,-0.369901807,-0.807122541,0.46013677977664247,-19.36653032,52.335062374492836,36.07984571,0.097324394,1.114064178784328,2.6649844909454514,-103.896307,176.88157639545415,-36.43765881,-6.705728162,0.2660245819547975,0.5153304877601175,-0.233443211,0.824583989,,,1,1,1,36.82479023533797,high,high,,,37.660683304153416,Reese Hunter,huntere10,Georgia tech,2022-11
10,10/18/24,5:04:03 PM,2,1,Sophia Voyles,voyleso10,,Georgia tech,Aria Davis,,Right,Jacksonville state,,1,Top,2,0,0,Fastball,,StrikeSwinging,,,,,,,64.15593755663242,4.248089638505844,0.6444835059071173,1438.1555290222166,87.63437057254728,9:00,1.809904685180008,0.8791492087819426,5.999999999999997,-29.65601983,0.8675941018941877,-5.53035373,2.0477642314469398,1.134590127666294,58.74115081506106,-4.425800322,-0.2255942,0.39452716441050273,,,,,,,,,,,,6.540317699784913,-0.374516186,-0.678827973,50.000000000000014,0.5531481012158699,-1.875111798,-96.35259855,11.41558767,5.995340345719111,18.44529600421935,-32.5173589,Georgia Tech,Jacksonville State,,,,849b1b18-8aad-4bb4-ac2f-fbc79477ec04,df179d56-8824-45d0-8b38-dc746063cc8c,64.24168492488188,1.8059460484141043,0.8800561381306693,4.317718118569071,0.6280281630500854,58.80009367501575,2.0513152269700643,1.133942046129526,-4.34901658,-0.239422145,0.394444658,-5.416732975,-0.407411354,-65.29315689,,601.1138756105164,-1306.50428,41.79755690396059,0.017252481958463867,-0.908458267,0.4176193580046969,,,,,,,,,,,,,,,,,1,0,,,high,high,,,37.00000137600001,Reese Hunter,huntere10,Georgia tech,2022-11
