PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,HitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUUID,yt_RelSpeed,yt_RelHeight,yt_RelSide,yt_VertRelAngle,yt_HorzRelAngle,yt_ZoneSpeed,yt_PlateLocHeight,yt_PlateLocSide,yt_VertApprAngle,yt_HorzApprAngle,yt_ZoneTime,yt_HorzBreak,yt_InducedVertBreak,yt_OutOfPlane,yt_FSRI,yt_EffectiveSpin,yt_GyroSpin,yt_Efficiency,yt_SpinComponentX,yt_SpinComponentY,yt_SpinComponentZ,yt_HitVelocityX,yt_HitVelocityY,yt_HitVelocityZ,yt_HitLocationX,yt_HitLocationY,yt_HitLocationZ,yt_GroundLocationX,yt_GroundLocationY,yt_HitBreakX,yt_HitBreakY,yt_HitBreakT,yt_HitSpinComponentX,yt_HitSpinComponentY,yt_HitSpinComponentZ,yt_SessionName,Note,yt_PitchSpinConfidence,yt_PitchReleaseConfidence,yt_HitSpinConfidence,yt_EffectiveBattingSpeed,yt_ReleaseAccuracy,yt_ZoneAccuracy,yt_SeamLat,yt_SeamLong,yt_ReleaseDistance,Catcher,CatcherId,CatcherTeam,yt_AeroModel
1,9/29/24,1:00:53 PM,1,2,Emma Minghini,minghem10,,Georgia tech,Macie Hester,,Right,Middle tennessee state,,1,Top,0,1,0,Curveball,,BallCalled,,,,,,,62.12007449,0.7611146724319228,-0.847495123,956.8194869192026,228.70788827406517,1:30,1.813622344810993,-0.939250789,6.272206536903206,-27.55961762,3.4812138185437433,2.900357797693965,0.47086796510219264,-0.709732837,58.01936765711029,-6.38724227,1.000986470716427,0.4030560868239773,,,,,,,,,,,,-3.872447152,3.6307323171181065,0.7109408849584525,50,1.3397306136688891,1.8291798633733318,-93.57572354,5.383389396299245,-3.351110984,17.282857069396382,-29.03211208,Georgia Tech,Middle Tennessee State,,,,4f8339ba-2f7c-4672-b65a-06ae10905ee1,716c6dfb-4777-467b-8023-c6cd8c44b872,62.204275406842086,1.8106003771674486,-0.940562321,0.8159128993946968,-0.82320478,58.08499359334552,0.4735981701801548,-0.708761016,-6.327190753,1.0222573107646937,0.40296489050740614,2.7397175905095708,2.312815903254302,72.58976464473207,,286.29114778778927,912.9846161062499,29.921124277014727,-0.19744897,0.9541868958437566,-0.224813861,,,,,,,,,,,,,,,,,1,1,,,high,high,,,36.727794839096795,Caroline Patterson,,Georgia tech,2022-11
2,9/29/24,1:01:08 PM,1,2,Emma Minghini,minghem10,,Georgia tech,Macie Hester,,Right,Middle tennessee state,,1,Top,0,1,0,Curveball,,BallCalled,,,,,,,60.130428162587165,3.0634000173858045,2.1799710590324444,631.7439405653212,221.80306520968085,1:30,1.7980573081727644,-1.029215299,6.283003795717136,-27.12444538,4.271120939632002,2.916852105344985,1.4717209355889744,-0.701787073,57.50592867122373,-4.720450029,-0.268679284,0.4172728989053845,,,,,,,,,,,,-2.767593475,4.681040799672421,1.5032089348953959,49.999999999999986,0.7816230867855094,-3.017341228,-90.43057659,8.940852828717404,-2.233454006,16.314702366791483,-28.39643939,Georgia Tech,Middle Tennessee State,,,,4f8339ba-2f7c-4672-b65a-06ae10905ee1,d4e4bbff-cc70-4e4e-80c1-4e5094eb9892,60.225146396561584,1.7951163371721874,-1.030066892,3.1140855371517295,2.1951058885270363,57.57795245672119,1.4743331697789386,-0.701239146,-4.663463529,-0.256879775,0.4171667227796627,2.825859201558212,3.1248202110917758,61.230536789420384,,304.0498643649734,553.7635654506726,48.12865543164402,-0.358770413,0.8765633192383813,-0.32081231,,,,,,,,,,,,,,,,,1,1,,,high,high,,,36.716997580282865,Caroline Patterson,,Georgia tech,2022-11
3,9/29/24,1:01:25 PM,1,3,Emma Minghini,minghem10,,Georgia tech,Macie Hester,,Right,Middle tennessee state,,1,Top,0,2,0,Curveball,,BallCalled,,,,,,,61.23817838766958,1.2784187710682173,2.4928811910473816,940.7662440708706,218.35257449014688,1:15,1.8447186807808482,-1.074879397,6.3010298214905145,-27.17835212,4.1048059007211215,2.4164263266098387,0.9470286654043383,-0.119972304,57.67109570360913,-5.581282874,1.5225884231856495,0.4090486817435691,,,,,,,,,,,,-2.190811037,4.836804143499798,1.626437705468923,50.00000000000003,1.2509284379946253,-3.636789418,-92.17873372,6.116032157223692,-1.837937765,16.888639253538706,-28.11630802,Georgia Tech,Middle Tennessee State,,,,4f8339ba-2f7c-4672-b65a-06ae10905ee1,e6a35a56-9ef1-4e0c-bbf5-9d33e3204527,61.32723119182776,1.8419381482329291,-1.076266983,1.3282099908448612,2.5183910392844093,57.74101296384781,0.9496191002854594,-0.118927335,-5.523966102,1.5454807166855302,0.40895192850987505,2.247746240725244,2.9527423840732614,71.67535940664878,,295.7775898635803,893.0603245681136,31.440072571449377,-0.246555354,0.9492903579359687,-0.195085298,,,,,,,,,,,,,,,,,1,1,,,high,high,,,36.698971554509484,Caroline Patterson,,Georgia tech,2022-11
4,9/29/24,1:01:59 PM,1,4,Emma Minghini,minghem10,,Georgia tech,Macie Hester,,Right,Middle tennessee state,,1,Top,0,3,0,Curveball,,BallCalled,Walk,,Walk,0,0,,60.635561196166606,0.14435394249983227,4.053298956,1139.3695780436196,294.4773434591384,3:45,1.792859706576021,-1.132504891,5.964903448514799,-31.95337007,1.7634332011941893,1.9519631021830632,0.19489821649106784,0.077448415,57.17871617,-7.295346382,1.8498852154309977,0.41792150418613416,,,,,,,,,,,,-0.833069087,2.0043997932017374,2.0318545118903404,49.99999999999995,1.4431123,-6.187772078,-91.11218575,4.626894376377988,-0.681890863,16.66285700359183,-30.53339105,Georgia Tech,Middle Tennessee State,,,,4f8339ba-2f7c-4672-b65a-06ae10905ee1,6abd08ee-4ce4-456d-8967-d68877088fe2,60.714025064789645,1.7888716477358226,-1.134963879,0.2130251913424358,4.096403866506601,57.234587758421675,0.19837693380366936,0.079288558,-7.220851637,1.8892568491795019,0.41783538260375197,1.683009502797516,0.42042224067926137,84.56943315859415,,107.82926590347923,1134.2556523050755,9.463941111068623,0.039212267,0.9955116181464797,-0.086133711,,,,,,,,,,,,,,,,,1,1,,,high,high,,,37.035097927485204,Caroline Patterson,,Georgia tech,2022-11
5,9/29/24,1:02:24 PM,2,1,Emma Minghini,minghem10,,Georgia tech,Jana Want,,Right,Middle tennessee state,,1,Top,0,0,0,Curveball,,StrikeCalled,,,,,,,61.44756353787244,3.7803635238212716,1.9029864264242873,1321.2357046944758,290.12473849900186,3:45,1.8305595788807432,-1.07246574,6.486024449282648,-30.31247891,0.2666381834359264,3.652524097219754,2.2729226361194934,-0.202062753,57.91408141269962,-3.942435671,2.5761028597606264,0.40622059765777585,,,,,,,,,,,,-3.978983729,-0.92081014,1.4776379603206915,49.99999999999998,0.5906754117564103,-2.490415526,-92.41094186,10.817320133409844,-3.350926613,17.122632443870778,-32.94951574,Georgia Tech,Middle Tennessee State,,,,4f8339ba-2f7c-4672-b65a-06ae10905ee1,72c9514b-4fba-4fca-9290-59d073a07eaf,61.524586189148174,1.8264861333158644,-1.074107736,3.8544654529022577,1.9335980587883899,57.97112480342929,2.276414188014717,-0.20086936,-3.864971253,2.6022646414049517,0.40614248645765577,3.45600181,-1.022804306,71.35573158058314,,422.3877944970965,1251.899492139599,31.96914774527456,0.1099946909103597,0.9475216932841592,-0.300172965,,,,,,,,,,,,,,,,,1,1,,,high,high,,,36.513976926717355,Caroline Patterson,,Georgia tech,2022-11
6,9/29/24,1:02:39 PM,2,2,Emma Minghini,minghem10,,Georgia tech,Jana Want,,Right,Middle tennessee state,,1,Top,0,0,1,Curveball,,Foul,,,,,,,62.747684937284276,4.2523303407094035,-0.152384928,1204.0286467179008,261.02762038452573,2:45,1.8165421398528985,-0.849320892,6.151705198770865,-29.08499799,2.3051145943642872,3.8979696068193994,2.6619839300327097,-0.176192083,57.63702336565908,-3.280150637,2.6026326545115457,0.4015909694786107,64.46866203171221,-1.784137743,51.02940560236654,2340.9698404947912,,,,29.124910506877193,,53.21444388005017,0.3189666207176444,-4.771137717,0.7777886606228774,0.7729722406137911,50,0.5370702408603926,0.8359767907316682,-94.27448115,11.276133942332653,-4.18656393,17.67038051044742,-31.49155787,Georgia Tech,Middle Tennessee State,,,,4f8339ba-2f7c-4672-b65a-06ae10905ee1,538b6b76-6914-480a-9dbd-a4faf471316b,62.83764467439878,1.8127993176216648,-0.850682374,4.316700733,-0.128335825,57.705098953747815,2.6651576590412023,-0.175220587,-3.210632972,2.623569629030332,0.4015001628342768,3.7388938150355226,1.0421543229784098,70.27371351705803,,406.3923525796284,1133.3711827473533,33.75271457929394,-0.052640165,0.9413157949662121,-0.333397041,50.09807758,40.52606907179083,-2.007170282,0.40214784323572333,-0.192154562,2.2602201910271553,23.325626925157323,17.440629019103095,-0.078066623,-1.201988854,-0.071698962,-0.059263088,0.11626141630577694,-0.991449025,,,1,1,1,33.50281912132475,high,high,,,36.84829617722914,Caroline Patterson,,Georgia tech,2022-11
7,9/29/24,1:03:02 PM,2,3,Emma Minghini,minghem10,,Georgia tech,Jana Want,,Right,Middle tennessee state,,1,Top,0,0,2,Riseball,,BallCalled,,,,,,,62.18905401150697,7.0713990051496705,0.13685027307546316,1457.071492513021,264.65137641107697,2:45,1.9335458625980253,-0.947733013,6.4715721817532605,-29.00663874,1.8820112257448791,3.6358115887156384,4.120792141380122,-0.173714799,57.48209506418787,-0.869066585,1.6909074157294968,0.4034323586079671,,,,,,,,,,,,-4.389487668,-0.400758317,0.9390649950558484,49.99999999999997,-0.064772367,0.3343115100245817,-93.05162796,16.00117841838706,-3.750715946,17.271734554270918,-32.51648832,Georgia Tech,Middle Tennessee State,,,,4f8339ba-2f7c-4672-b65a-06ae10905ee1,e2da5219-7931-4b65-a8b4-009924cd8a1d,62.281957913506396,1.9299611297786232,-0.949315727,7.1353711821875185,0.1661556332817979,57.55266725454289,4.123982246117693,-0.172565607,-0.798615471,1.715832393979811,0.40334117853916374,3.447445506600756,0.6389154697604558,70.36538100525408,,489.60618837924756,1372.349487045799,33.60207037849739,-0.031322361,0.9418545995151539,-0.334557653,,,,,,,,,,,,,,,,,1,1,,,high,high,,,36.52842919424674,Caroline Patterson,,Georgia tech,2022-11
8,9/29/24,1:03:17 PM,2,4,Emma Minghini,minghem10,,Georgia tech,Jana Want,,Right,Middle tennessee state,,1,Top,0,1,2,Riseball,,InPlay,,LineDrive,Out,1,0,,62.43691999016648,5.197729941929248,-0.199618355,1340.2101562500002,265.22269202133515,2:45,1.8567576803805002,-0.963382524,5.999999999999997,-29.19786052,1.9197762896329884,2.152622078286158,2.8605072477813347,-0.32593869,58.111064636310935,-2.955945222,2.4573060326616103,0.4059227669237411,56.11875057859563,28.693866398994487,39.55514879495557,2881.147802734375,79.82576148287498,75.68254620238336,24.063274697702564,156.56385551937325,,48.717224902606326,2.638244576537744,-2.611047678,-0.12337017,0.8963244778092272,50.000000000000014,0.37052373266285454,0.6357573235437903,-93.64809458,12.836561845620974,-2.260981462,17.42548124647134,-32.28087937,Georgia Tech,Middle Tennessee State,,,,4f8339ba-2f7c-4672-b65a-06ae10905ee1,565f5c60-7265-48a3-ad1b-cf57f3959831,62.52856003369096,1.8529734741661132,-0.965670353,5.262923514,-0.158975622,58.18055208556777,2.863631337678233,-0.324345448,-2.887582869,2.491613089398987,0.405829799,1.8973307658691478,0.6717020679594533,79.13988371530432,,252.51146355290967,1316.2071355565652,18.841184151256847,-0.015691536,0.9820901068526467,-0.187757284,31.348916856884703,37.95478536423925,26.944272978822177,1.066320243818351,1.6312368071128374,3.0666119980798183,117.65186889077249,103.29704062362902,23.870048391943328,-10.19204309,0.1928173507866946,0.6744881495778572,0.20018104699947442,-0.710628795,,,1,0,1,27.478848073242766,high,high,,,37.00000137600001,Caroline Patterson,,Georgia tech,2022-11
9,9/29/24,1:03:45 PM,3,1,Emma Minghini,minghem10,,Georgia tech,Lexi Medlock,medlole10,,Middle tennessee state,,1,Top,1,0,0,Curveball,,StrikeCalled,,,,,,,63.424532567803794,4.899791214324348,1.2233523292442212,1186.8515194163601,306.0918514267028,4:15,1.2918990867622304,-1.116497026,-1.076459014,-44.15638341,0.12885297883753566,3.906348637544638,1.4840186107017652,0.5821247755138077,58.12645849826162,-5.390673211,3.401359523397405,0.4827274862030188,,,,,,,,,,,,-2.837138176,-1.931495842,1.2372637112755778,50.000000000000014,0.7187281148080185,-1.82254605,-93.79073082,10.096047303679835,-2.458647742,17.77061062654636,-33.84787285,Georgia Tech,Middle Tennessee State,,,,4f8339ba-2f7c-4672-b65a-06ae10905ee1,f592a05e-1143-4d7c-814b-3274c1e5fd2b,63.54978848945204,1.2830852210154164,-1.120619205,5.013691025017904,1.2781513909924578,58.20798672965305,1.490363134025501,0.5846118152117906,-5.273993722,3.4466317528715376,0.4825833956881037,3.5139032602664577,-2.111643787,73.95101973623568,,328.11577788060504,1140.5948296598262,27.645899467016527,0.16285686255176457,0.9610257146746707,-0.223399235,,,,,,,,,,,,,,,,,1,1,,,high,high,,,44.076460389956985,Caroline Patterson,,Georgia tech,2022-11
10,9/29/24,1:04:00 PM,3,2,Emma Minghini,minghem10,,Georgia tech,Lexi Medlock,medlole10,,Middle tennessee state,,1,Top,1,0,1,Riseball,,StrikeSwinging,,,,,,,61.92010383774538,4.973560716900116,-0.150904869,1311.7823247494903,291.5401001934407,3:45,1.8029894341469075,-0.702184335,5.705499272267373,-31.75264567,0.25049108324459723,3.2523277761963914,2.6045119326758206,-0.246833171,57.77538551905337,-3.56468668,1.9343595965924116,0.4126753208399739,,,,,,,,,,,,-3.899162775,-1.758375582,0.637269001,49.99999999999999,0.3881541497835097,0.6983455586732548,-92.84818799,12.540640970092843,-3.318973986,17.12868927148039,-33.67078187,Georgia Tech,Middle Tennessee State,,,,4f8339ba-2f7c-4672-b65a-06ae10905ee1,fc7ea1d4-a649-481b-9a20-0125e09dacc1,62.005657744956245,1.7981989707865935,-0.704361094,5.0535441495497295,-0.113621522,57.83614795724436,2.6082685341008114,-0.245379551,-3.483738532,1.965309229699752,0.41258830211541186,3.0171505056737113,-1.114439863,73.37557338227167,,375.2968398229954,1256.9507347322926,28.609688722148736,0.10504113529720234,0.958200695,-0.266116119,,,,,,,,,,,,,,,,,1,1,,,high,high,,,37.294502103732626,Caroline Patterson,,Georgia tech,2022-11
