PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,HitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUUID,yt_RelSpeed,yt_RelHeight,yt_RelSide,yt_VertRelAngle,yt_HorzRelAngle,yt_ZoneSpeed,yt_PlateLocHeight,yt_PlateLocSide,yt_VertApprAngle,yt_HorzApprAngle,yt_ZoneTime,yt_HorzBreak,yt_InducedVertBreak,yt_OutOfPlane,yt_FSRI,yt_EffectiveSpin,yt_GyroSpin,yt_Efficiency,yt_SpinComponentX,yt_SpinComponentY,yt_SpinComponentZ,yt_HitVelocityX,yt_HitVelocityY,yt_HitVelocityZ,yt_HitLocationX,yt_HitLocationY,yt_HitLocationZ,yt_GroundLocationX,yt_GroundLocationY,yt_HitBreakX,yt_HitBreakY,yt_HitBreakT,yt_HitSpinComponentX,yt_HitSpinComponentY,yt_HitSpinComponentZ,yt_SessionName,Note,yt_PitchSpinConfidence,yt_PitchReleaseConfidence,yt_HitSpinConfidence,yt_EffectiveBattingSpeed,yt_ReleaseAccuracy,yt_ZoneAccuracy,yt_SeamLat,yt_SeamLong,yt_ReleaseDistance,Catcher,CatcherId,CatcherTeam,yt_AeroModel
1,10/20/24,1:59:51 PM,1,1,Sophia Voyles,voyleso10,,Georgia tech,Esmee Ames,,Right,Troy,,1,Top,0,0,0,Curveball,,StrikeCalled,,,,,,,58.04413445502575,2.6542153455329567,2.155773008134472,1921.7817993164065,131.54813284235547,10:30,1.9091862430801185,0.8824440510031786,5.515866036574481,-25.49018815,10.51029660905515,-9.576094299,1.9189534425191694,-0.617751786,54.85001555466759,-3.514262387,-5.085656322,0.4414606623393388,,,,,,,,,,,,11.8942872,10.333383957977802,-0.322718753,50.00000000000002,1.0777115606817178,-4.498543988,-87.14070284,7.492316106665788,8.936430993571037,14.857925178770298,-24.4103584,Georgia Tech,Troy,,,,4a7fb833-0819-44d0-b826-e683ff16adc4,2fed439b-da85-45fd-8368-39725daa7a20,58.14375909313434,1.9069963920080446,0.880911149,2.6899957311622056,2.181817793591647,54.93167133369145,1.9206921225541698,-0.616284525,-3.47666447,-5.054673333,0.4413368906804222,-9.776495477,9.233607839072976,-33.37114746,,1604.927950424267,-1057.095813,83.51249611142914,-0.553895791,-0.550060269,0.6250065229173292,,,,,,,,,,,,,,,,,1,1,,,high,high,,,37.48413533942552,Reese Hunter,huntere10,Georgia tech,2022-11
2,10/20/24,2:00:11 PM,1,1,Sophia Voyles,voyleso10,,Georgia tech,Esmee Ames,,Right,Troy,,1,Top,0,0,0,Riseball,,BallCalled,,,,,,,60.96406475199056,2.0741952499447907,3.943204432485363,1372.0713195800786,141.6666583269125,10:45,1.7399067881912371,0.6574956858210763,5.707688560361154,-24.03592937,7.690578691455631,-5.135166416,1.2395342549578932,0.6751290466592648,58.065299263753296,-4.183861597,-1.358381039,0.4184019214552373,,,,,,,,,,,,7.530977622414571,7.4754491165104024,0.2691125732301182,50.000000000000014,1.0270356672436143,-7.02224334,-91.43092589,6.893601086002674,6.234508448524001,16.249462679914277,-25.98551033,Georgia Tech,Troy,,,,4a7fb833-0819-44d0-b826-e683ff16adc4,501bfcd9-9488-4ecb-8890-9135ef4e2b39,61.06269938941828,1.737569022854532,0.6579845656120357,2.1149749736059844,3.9343100257432297,58.14803378267072,1.241460390850281,0.6750169381887978,-4.141927526,-1.360701421,0.41828950686405997,-5.103698698,6.610123345252902,-52.27925177,,839.4517772996649,-1085.311209,61.18135153182697,-0.47991605,-0.791002037,0.37946852609273385,,,,,,,,,,,,,,,,,1,1,,,high,high,,,37.29231281563885,Reese Hunter,huntere10,Georgia tech,2022-11
3,10/20/24,2:00:30 PM,1,2,Sophia Voyles,voyleso10,,Georgia tech,Esmee Ames,,Right,Troy,,1,Top,0,1,1,Curveball,,StrikeCalled,,,,,,,62.568018784523616,3.5592835303529786,2.6612388396347546,,,,1.602043433,0.6171549841552213,1.5837065634522385,,,,0.8826380152406738,2.4763700970539517,57.35434060435163,-6.035935496,2.6612388396346827,,,,,,,,,,,,,,,,,,,,,,,,Georgia Tech,Troy,,,,4a7fb833-0819-44d0-b826-e683ff16adc4,f776fae8-3c33-4615-8133-5a4d581a65a9,62.684937039793496,1.5958076455759087,0.6171549841552223,3.643904331566104,2.6612388396347146,57.431851120772535,0.8875618192383887,2.4763700970539437,-5.945242678,2.6612388396347124,0.45686162871127733,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,high,low,,,41.41629481254776,Reese Hunter,huntere10,Georgia tech,2022-11
4,10/20/24,2:00:53 PM,1,3,Sophia Voyles,voyleso10,,Georgia tech,Esmee Ames,,Right,Troy,,1,Top,0,1,2,Curveball,,StrikeSwinging,Strikeout,,StrikeoutSwinging,1,0,,61.181355614717816,2.260570377655471,-0.209391342,1537.4184112548828,127.25358164116233,10:15,1.7995245243101199,0.8872819995956012,4.363459135916498,-26.90244423,8.725609199,-8.947394062,1.6463671477759387,-0.448576907,56.77401034581039,-3.747788842,-3.776346683,0.43266602283654304,,,,,,,,,,,,9.765208697750067,8.349937461114136,-0.864664878,50.000000000000014,1.1581690285067778,-0.688786987,-91.76862864,6.700559280677278,8.114526891024312,16.81548755,-25.2355607,Georgia Tech,Troy,,,,4a7fb833-0819-44d0-b826-e683ff16adc4,db3d9a28-a1f5-464a-99ba-eb17fec10184,61.28886631410408,1.7967089326161638,0.8860184668020132,2.3036508324087324,-0.189566851,56.85807179579138,1.6486572230600418,-0.447555691,-3.699417723,-3.755083198,0.43253990969998907,-9.08229141,7.390850524851633,-41.12541425,,1158.0938217972907,-1011.1746,75.32717270193369,-0.455988329,-0.657709438,0.5995772998486754,,,,,,,,,,,,,,,,,1,1,,,high,high,,,38.63654224008351,Reese Hunter,huntere10,Georgia tech,2022-11
5,10/20/24,2:01:23 PM,2,1,Sophia Voyles,voyleso10,,Georgia tech,Esmee Ames,,Right,Troy,,1,Top,1,0,0,Curveball,,BallCalled,,,,,,,62.62252978115573,2.914057203032912,-1.721608153,1343.7246449788408,129.72469538276383,10:15,1.8410260199789217,0.8331388857934252,6.299981631582338,-25.28634952,5.798938428882138,-4.590241412,1.8966044485953824,-0.986205018,57.781182693612365,-3.449404531,-4.377718508,0.400372631,,,,,,,,,,,,4.987919425233272,5.480459608815296,-1.182711923,49.99999999999995,0.8927892300015479,2.1307926908933768,-94.2305315,8.585856308,4.3683484648758615,17.783107548272156,-27.37434148,Georgia Tech,Troy,,,,4a7fb833-0819-44d0-b826-e683ff16adc4,f1132e19-e45a-4e69-942c-0915cdbb8abd,62.71862859468526,1.838584735866452,0.8338047417043161,2.9572496793306597,-1.733865396,57.85846640793506,1.8988499461796207,-0.986651583,-3.399643342,-4.387346687,0.40027286181979854,-4.507112551,4.643963942938828,-61.8003243,,634.9713944586947,-1184.232768,47.254576808680426,-0.302003708,-0.881306131,0.36344636911734335,,,,,,,,,,,,,,,,,1,1,,,high,high,,,36.700019744417666,Reese Hunter,huntere10,Georgia tech,2022-11
6,10/20/24,2:01:44 PM,2,2,Sophia Voyles,voyleso10,,Georgia tech,Esmee Ames,,Right,Troy,,1,Top,1,1,0,Fastball,,BallCalled,,,,,,,62.94120832671624,2.673119373666947,1.420075235568903,1170.7634658813477,68.60445055465955,8:15,1.7642863973415044,0.7509108898737856,5.430228467442973,-30.4376371,-0.369143233,-4.613385346,1.170657676,0.8373541286510495,60.21516881862641,-5.850437573,-1.122635136,0.4082356018489498,,,,,,,,,,,,5.834112476474649,-1.60299119,-0.401029816,50,0.8934398873720061,-2.970863265,-94.54975319,8.777096609625884,5.149689904599165,17.762294486039533,-33.58898761,Georgia Tech,Troy,,,,4a7fb833-0819-44d0-b826-e683ff16adc4,2d5b6373-146b-44b4-af01-fe87ccc0c88e,63.02012342742522,1.7591627884191052,0.752395971,2.7575417817144237,1.395129901856565,60.271159492454515,1.1744359096039292,0.8365149622390143,-5.770328171,-1.140311181,0.4081544675985499,-4.473460746,-1.692765037,-67.99681267,,438.6360879460138,-1085.488588,37.46581617285176,0.13667696903725904,-0.927163018,0.3488382781240903,,,,,,,,,,,,,,,,,1,1,,,high,high,,,37.56977290855703,Reese Hunter,huntere10,Georgia tech,2022-11
7,12/31/69,6:59:59 PM,2,3,Sophia Voyles,voyleso10,,Georgia tech,Esmee Ames,,Right,Troy,,1,Top,1,2,0,Riseball,,Foul,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Georgia Tech,Troy,,,,4a7fb833-0819-44d0-b826-e683ff16adc4,f12dc78d-5155-4a15-87e5-4001b552627c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Reese Hunter,huntere10,Georgia tech,2022-11
8,10/20/24,2:02:29 PM,2,4,Sophia Voyles,voyleso10,,Georgia tech,Esmee Ames,,Right,Troy,,1,Top,1,2,1,Curveball,,Foul,,,,,,,62.816398244846766,5.074345648836409,-1.497718274,1687.2139485677083,129.53886781877242,10:15,1.4189449703839758,1.0973609890107807,1.5738326720577491,-30.12554051,10.384347545848325,-9.1420368,2.468174950003733,-1.148522315,57.01916199358856,-2.786309184,-4.759195746,0.4564647798348973,,,,,,,,,,,,7.881264956492032,7.591966727316455,-1.290539292,49.99999999999998,0.5540963018697185,1.7727180656132002,-93.3971071,10.525937218117685,6.757316033092877,17.90938471656935,-25.6647749,Georgia Tech,Troy,,,,4a7fb833-0819-44d0-b826-e683ff16adc4,f57a5ee8-37b6-4ede-ae87-842bb13d63e1,62.95839024904619,1.4158007735562748,1.0964180678695783,5.116088582218795,-1.48475862,57.12347322106497,2.4708575026554405,-1.147717341,-2.732788757,-4.743430868,0.45629334848725267,-9.23601086,8.733294634468153,-46.73064412,,1156.4653813695065,-1228.527057,68.54290070036706,-0.436345149,-0.728139462,0.5285979895466474,,,,,,,,,,,,,,,,,1,1,,,high,high,,,41.42616870394225,Reese Hunter,huntere10,Georgia tech,2022-11
9,10/20/24,2:02:51 PM,2,5,Sophia Voyles,voyleso10,,Georgia tech,Esmee Ames,,Right,Troy,,1,Top,1,2,2,Changeup,,InPlay,,GroundBall,Out,1,0,,50.42414338242733,8.858592244134025,-0.530344051,1143.0956583658858,46.77042163502041,7:30,1.293716867666619,0.6281614300278615,2.410896623800899,-62.35805493,0.39779044049586076,-2.33413661,2.407144583796629,0.36431984379165017,45.16496269569549,-7.591142696,-0.19220226,0.5598499242150388,62.882079919492796,-16.33489644,-19.40259735,,36.76533567904637,-103.674057,13.43584993991724,9.730388767888556,,-18.01034638,0.089678086,1.8011796893637755,-2.621405584,-0.706417702,50,-0.432473189,0.5506030649036795,-74.4830142,15.676013386600031,0.985983132,11.076450888138329,-33.60903228,Georgia Tech,Troy,,,,4a7fb833-0819-44d0-b826-e683ff16adc4,050f4af4-e2e7-4ef8-b3ff-4f21300ebeeb,50.52142256446424,1.2835166482287117,0.6351873668008071,9.000134639,-0.632281298,45.20100920037896,2.414838072973319,0.35978855998607384,-7.438835552,-0.282445933,0.5597106019054204,-1.608818878,-2.442271984,-77.90593154,,239.49834444068932,-1117.724576,20.951732489568244,0.143503305,-0.977804935,0.15265749496963507,-20.04644266,56.91672383100527,-17.68566255,-0.378336915,1.836985964055343,2.4520174709388263,-3.008526541,9.253606519838028,,,,,,,,,1,1,,37.260928414990346,high,high,,,40.589104752199106,Reese Hunter,huntere10,Georgia tech,2022-11
10,10/20/24,2:03:22 PM,3,1,Sophia Voyles,voyleso10,,Georgia tech,Esmee Ames,,Right,Troy,,1,Top,2,0,0,Riseball,,StrikeCalled,,,,,,,62.54927761,2.9635495547149837,1.0875778018638047,,,,1.7957101973560414,0.8567910698120612,5.999999999999997,,,,1.6413617565828615,1.1144862314987802,57.52832418215478,-4.716341445,0.17598706714919812,,,,,,,,,,,,,,,,,,,,,,,,Georgia Tech,Troy,,,,4a7fb833-0819-44d0-b826-e683ff16adc4,ae2f9daa-5f3c-45ff-b7bd-18f9824e1802,62.63546720019209,1.7920602426703884,0.8567910698120594,3.0268385257190604,1.0875778018638176,57.59096175858109,1.6445756691357722,1.114486231,-4.646748976,0.1759870671491921,0.40604677707999925,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,high,high,,,37.00000137600001,Reese Hunter,huntere10,Georgia tech,2022-11
