PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,HitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUUID,yt_RelSpeed,yt_RelHeight,yt_RelSide,yt_VertRelAngle,yt_HorzRelAngle,yt_ZoneSpeed,yt_PlateLocHeight,yt_PlateLocSide,yt_VertApprAngle,yt_HorzApprAngle,yt_ZoneTime,yt_HorzBreak,yt_InducedVertBreak,yt_OutOfPlane,yt_FSRI,yt_EffectiveSpin,yt_GyroSpin,yt_Efficiency,yt_SpinComponentX,yt_SpinComponentY,yt_SpinComponentZ,yt_HitVelocityX,yt_HitVelocityY,yt_HitVelocityZ,yt_HitLocationX,yt_HitLocationY,yt_HitLocationZ,yt_GroundLocationX,yt_GroundLocationY,yt_HitBreakX,yt_HitBreakY,yt_HitBreakT,yt_HitSpinComponentX,yt_HitSpinComponentY,yt_HitSpinComponentZ,yt_SessionName,Note,yt_PitchSpinConfidence,yt_PitchReleaseConfidence,yt_HitSpinConfidence,yt_EffectiveBattingSpeed,yt_ReleaseAccuracy,yt_ZoneAccuracy,yt_SeamLat,yt_SeamLong,yt_ReleaseDistance,Catcher,CatcherId,CatcherTeam,yt_AeroModel
1,08/26/2024,3:48:59 PM,1,1,Makayla Coffield,coffima10,,Georgia tech,Sara beth Allen,allensa10,,Georgia tech,,1,Top,0,0,0,Changeup,,BallCalled,,,,,,,52.227690614430514,8.641298798547666,0.33779151837599175,758.3042613062365,319.5867874882273,4:45,2.2040368371072723,-0.16140681215102057,5.999999999999997,-52.50928556087828,-6.393936653000928,6.999452281401471,3.236068172968541,0.6316675271367943,47.93987227518287,-5.947915687673346,2.2936343938828734,0.48875844212596153,,,,,,,,,,,,-8.058049367838748,-10.515774455491705,0.16798652459924648,49.99999999999999,-0.29725951517319643,0.36879051911772753,-77.75812795340086,18.0231205522459,-4.812826730817391,11.97420007927089,-38.45480043329984,Georgia Tech,Georgia Tech,,,,78ea3e5c-9896-46ac-91d6-dcebd86a1f24,04b4f11d-266d-40fe-a33e-6197b19fabf8,52.2625413032369,2.195145098893099,-0.15927989772037668,8.796184731389951,0.2996906033120289,47.933424824028954,3.2424974163056492,0.63015560565681,-5.810395386028946,2.26108036714602,0.4887426266842701,7.239744246527126,-8.506822761541907,2.307120100161755,,757.6895800535297,30.526267271039476,99.91894002393603,0.7607716480496328,0.04025596166168929,-0.6477699877846599,,,,,,,,,,,,,,,,,1.0,0,,,high,high,,,37.00000137600001,Makayla Coffield,coffima10,Georgia tech,2022-11
2,08/26/2024,3:49:13 PM,1,2,Makayla Coffield,coffima10,,Georgia tech,Sara beth Allen,allensa10,,Georgia tech,,1,Top,0,1,0,Changeup,,BallCalled,,,,,,,54.96522746586076,4.440878123769373,0.2548429547626967,800.3996480305991,338.28680292402333,5:15,2.1218516740895645,-0.33136590755861745,5.999999999999997,-48.730624554259016,-7.697650887678108,3.901430817014396,0.8245207302860033,0.1520236738516036,51.10553432971521,-9.111805099133047,1.3467734884145788,0.4610393753789179,,,,,,,,,,,,-4.464803463160256,-10.592127408931566,0.35025001310591697,49.99999999999997,0.6258590368232955,0.12077613893351709,-82.58230455160923,12.510186932408187,-2.9975279440563734,13.847723876235635,-39.28526918553071,Georgia Tech,Georgia Tech,,,,78ea3e5c-9896-46ac-91d6-dcebd86a1f24,030b60b4-e266-4834-8f06-ae04373b3eeb,54.98766818582119,2.1135817909252266,-0.3315988005024696,4.588734226982019,0.259035299089498,51.09265740352401,0.8306639379897143,0.15219504657215627,-8.982738325807938,1.3504954397110296,0.4610276532947243,3.875037696372909,-9.722211340109848,20.225101662057778,,751.0483297286648,276.70562513127504,93.83416541681842,0.8717638574329595,0.3457093288485512,-0.34714958853596706,,,,,,,,,,,,,,,,,1.0,0,,,high,high,,,37.00000137600001,Makayla Coffield,coffima10,Georgia tech,2022-11
3,08/26/2024,3:49:28 PM,1,3,Makayla Coffield,coffima10,,Georgia tech,Sara beth Allen,allensa10,,Georgia tech,,1,Top,0,2,0,Changeup,,BallCalled,,,,,,,51.6659683418548,4.784965712081759,0.9402206379937016,,,,2.6114293359271494,-0.6406026235100793,5.999999999999997,,,,1.8776551196104243,-0.05662961013508619,47.92157586009248,-7.615405960563448,0.9402206379936908,,,,,,,,,,,,,,,,,,,,,,,,Georgia Tech,Georgia Tech,,,,78ea3e5c-9896-46ac-91d6-dcebd86a1f24,9d33ffd0-2c33-4853-965d-a61876d5f39c,51.744846750562104,2.605890038801696,-0.6406026235100782,4.881722936968904,0.9402206379936953,47.96492374896961,1.8822910767393792,-0.05662961013508621,-7.515336716432643,0.9402206379936956,0.49016821837529856,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,high,high,,,37.00000137600001,Makayla Coffield,coffima10,Georgia tech,2022-11
4,08/26/2024,3:49:42 PM,1,4,Carter Wachtel,,Right,Georgia tech,Sara beth Allen,allensa10,,Georgia tech,,1,Top,0,3,0,Changeup,,BallCalled,Walk,,,,,,44.14044689312298,10.781778561122168,-1.0068739002547638,1196.6932220458987,110.76310662662686,9:45,2.12603380553951,0.3368803284996273,5.999999999999997,-60.9792207238928,4.543727877097773,-6.606829329425188,3.821634928085006,-0.8390685470061796,40.21132981725438,-6.122260180343541,-2.8536256335817294,0.5825969931905535,,,,,,,,,,,,7.356406599471289,1.404081397516933,-0.4993716292942586,49.99999999999998,-0.9589664419317478,0.4937597598172876,-65.32422663591638,18.480833136060827,3.0927728216004655,8.61506820601753,-31.583747143246594,Georgia Tech,Georgia Tech,,,,78ea3e5c-9896-46ac-91d6-dcebd86a1f24,dc37b5ff-859c-48d9-a0b2-120169f60447,44.236825624656255,2.119797868338144,0.32807172391855016,10.886036110210117,-0.8497172954619429,40.25776479554936,3.8273777926074017,-0.8327274280304247,-5.99819886820539,-2.7176126908631946,0.58243424309111,-7.5965592549202166,1.993476853394381,62.69010865877046,,549.0463765548417,1063.3074551053396,45.88029466868521,-0.16264791312783466,0.8885380442679208,0.42900559465314536,,,,,,,,,,,,,,,,,1.0,0,,,high,high,,,37.00000137600001,Makayla Coffield,coffima10,Georgia tech,2022-11
5,08/26/2024,3:49:56 PM,2,1,Carter Wachtel,,Right,Georgia tech,Sara beth Allen,allensa10,,Georgia tech,,1,Top,0,0,0,Changeup,,BallCalled,,,,,,,43.812929509744826,6.985587794997976,1.0157623636627264,919.3303572710822,101.8948693219551,9:30,2.0939193386795427,0.3325728935953355,5.999999999999997,-60.61072460477601,4.428871461581011,-8.647264568044537,1.4037094316859595,0.24286908099138252,40.72442215346947,-9.826184927261709,-1.4018251504344095,0.5804441521400319,,,,,,,,,,,,10.457066054607239,2.7122966031282,-0.015536839744216038,49.99999999999999,-0.1058096096935528,-2.0214914726319684,-65.48273048372818,14.0560195457304,4.428457766536529,8.504901206139328,-31.02542042992981,Georgia Tech,Georgia Tech,,,,78ea3e5c-9896-46ac-91d6-dcebd86a1f24,618b652a-d642-48d0-a55f-2d2b5ac97bf1,43.8908538907743,2.0874288119485116,0.32517402166195625,7.096657079238516,1.14831328436211,40.75555003634498,1.409352058368518,0.24820818723003277,-9.706001269445204,-1.286563926417047,0.5803166709870817,-9.482604807803753,1.9827282991204935,44.78978011169924,,652.4454508620837,647.6752577098712,70.96964064134539,-0.14628018321601402,0.7045076370940415,0.6944574121387571,,,,,,,,,,,,,,,,,1.0,0,,,high,high,,,37.00000137600001,Makayla Coffield,coffima10,Georgia tech,2022-11
6,08/26/2024,3:50:09 PM,2,2,Carter Wachtel,,Right,Georgia tech,Sara beth Allen,allensa10,,Georgia tech,,1,Top,0,1,0,Changeup,,BallCalled,,,,,,,44.402373199873026,8.788477656247611,0.2595583647551432,1222.755332253196,101.19611666701744,9:15,2.105497887721469,0.2710957516525943,5.999999999999997,-59.68251272099502,4.240887895734893,-9.523474771201595,2.633275423110952,-0.36132830894953455,40.854018039413944,-7.784285260964247,-2.4034442663404145,0.5754418688737603,,,,,,,,,,,,11.215756654253898,1.808999717594709,-0.11701535313683366,49.99999999999996,-0.5008845911116141,-1.254738614393592,-66.10486960054357,16.206644469087745,4.833077752945893,8.764337615314751,-31.394518025204558,Georgia Tech,Georgia Tech,,,,78ea3e5c-9896-46ac-91d6-dcebd86a1f24,1bc844ec-2f16-4097-8a34-2ae8bc0bae7a,44.484723932168365,2.0994230578631408,0.2626732999290804,8.892363599452825,0.41178214922634093,40.889778347385594,2.6387904616609497,-0.3550953449177235,-7.666607353823063,-2.2701120587153967,0.5753091618370353,-10.482105644816858,1.8045732298346449,47.35228453281177,,828.402975755984,899.377069038484,67.74887452173029,-0.1315465429688983,0.7355331400446103,0.6645949946614459,,,,,,,,,,,,,,,,,1.0,0,,,high,high,,,37.00000137600001,Makayla Coffield,coffima10,Georgia tech,2022-11
7,08/26/2024,3:50:34 PM,2,3,Makayla Coffield,coffima10,,Georgia tech,Sara beth Allen,allensa10,,Georgia tech,,1,Top,0,2,0,Curveball,,BallCalled,,,,,,,61.92991933336434,9.380036148207367,0.8282330137058957,1011.7375637147484,292.1375515102415,3:45,1.49053344215002,-0.5489202400403577,5.999999999999997,-32.82331505389271,0.12059427235984543,2.521160294516663,4.633916543905967,0.1755833808929552,56.38435088115754,0.28725809146614073,1.5329159043554683,0.41310370438824284,,,,,,,,,,,,-2.6545023749358383,-3.1788614060553133,0.7116228252624548,49.99999999999996,-0.9856536437101105,-0.9776713557962915,-92.01179414345977,19.790191621434623,-2.21937149622948,16.800330575543576,-34.831826223036785,Georgia Tech,Georgia Tech,,,,78ea3e5c-9896-46ac-91d6-dcebd86a1f24,992ca582-ace5-4034-b5b9-f6f0118c9a75,62.030154749574145,1.485965071966975,-0.5509497711550773,9.458849390940141,0.8649098175645634,56.45197706154168,4.637742196776672,0.17702743902309434,0.37085695330398105,1.5640297761781816,0.4130170895010157,2.2894477448596824,-1.252786861019442,71.04650308485678,,328.6129917427511,956.8836917250356,32.480062372716354,0.12239508247593885,0.9457825092622751,-0.3008569243997262,,,,,,,,,,,,,,,,,1.0,0,,,high,high,,,37.00000137600001,Makayla Coffield,coffima10,Georgia tech,2022-11
8,08/26/2024,3:50:50 PM,2,4,Makayla Coffield,coffima10,,Georgia tech,Sara beth Allen,allensa10,,Georgia tech,,1,Top,0,3,0,Curveball,,BallCalled,Walk,,,,,,61.37419841962512,7.701169423357898,0.5896642910748999,861.1643910127528,267.1867791749447,3:00,1.6475829783901923,-0.20223515614159873,5.999999999999997,-31.58523596743911,1.6735149888661454,2.8361176526138574,3.82752982800738,0.40032977801189434,56.11064362320223,-1.085285711992707,1.3826460453768679,0.41507300576230044,,,,,,,,,,,,-3.104955020670289,-0.7761547822974528,0.307662353761216,50.0,-0.4263784991059457,-0.5482419942260133,-91.60394899173487,16.78181813392994,-2.571490559300988,16.724718557026346,-32.8168526803918,Georgia Tech,Georgia Tech,,,,78ea3e5c-9896-46ac-91d6-dcebd86a1f24,300afa3d-d622-43be-98c7-d270ada51d67,61.47589683745236,1.6435046898920918,-0.20388100572983653,7.771323393184716,0.6191420937867607,56.18079800417219,3.831000701426845,0.40148218379739775,-1.0097846201353238,1.4073325000444277,0.41497869317419056,2.6499872931004176,0.32754861251985323,71.1651528728109,,278.0194955815575,815.0516967806041,32.284137440309046,-0.015845132118260025,0.9464530875714462,-0.3224522985103863,,,,,,,,,,,,,,,,,1.0,0,,,high,high,,,37.00000137600001,Makayla Coffield,coffima10,Georgia tech,2022-11
9,08/26/2024,3:51:03 PM,3,1,Makayla Coffield,coffima10,,Georgia tech,Sara beth Allen,allensa10,,Georgia tech,,1,Top,0,0,0,Curveball,,BallCalled,,,,,,,60.81802103668931,6.138316802250705,-0.49168389684496494,915.1326505220853,293.3825164688345,3:45,1.7969268469615851,-0.7719669385405488,5.999999999999997,-33.82408682598509,-0.19991490750511076,3.259121422477396,2.805225186546939,-0.8057394574817074,55.891260476307416,-3.2911483372558514,0.41952597812754805,0.4173470241908657,,,,,,,,,,,,-3.9790015048300402,-2.388059485556558,0.627778739786927,50.00000000000002,0.06018136258494891,1.2325415535174884,-91.05879911028944,14.474989226370173,-3.2593893051541114,16.409920899791295,-34.13022264545888,Georgia Tech,Georgia Tech,,,,78ea3e5c-9896-46ac-91d6-dcebd86a1f24,a7c76cee-a6a8-4c17-8904-7148e89c8955,60.90508891787235,1.7920908239954025,-0.7737207092672488,6.222476342252423,-0.46026192936075555,55.94711870677541,2.809216939351988,-0.8045053507778996,-3.2048353451838736,0.4459700643240014,0.41726563672260397,3.060785816556099,-1.6121893813922412,69.53308772067628,,319.9911341231976,857.3642412266369,34.96663942004931,0.13877134090322907,0.9368742779940248,-0.3209503110718144,,,,,,,,,,,,,,,,,1.0,0,,,high,high,,,37.00000137600001,Makayla Coffield,coffima10,Georgia tech,2022-11
10,08/26/2024,3:51:18 PM,3,2,Carter Wachtel,,Right,Georgia tech,Sara beth Allen,allensa10,,Georgia tech,,1,Top,0,1,0,Curveball,,BallCalled,,,,,,,58.538892505242174,6.615605993801303,-1.0761959875084337,1872.5034942626955,123.09616054904812,10:00,2.0897096124816894,0.42876998043708897,5.999999999999997,-32.04409824131397,4.36989736255962,-3.3251176797131325,3.5470504689783,-0.5167693744030001,53.66002895346624,-2.3160259477479275,-2.0057779395049042,0.434315861286299,,,,,,,,,,,,3.501781628710915,2.7450946784334826,-0.6397445367767689,50.00000000000001,0.26141642579231483,1.2033903489856657,-87.58427955275796,14.418522355400968,2.648960576882683,15.3837511488709,-30.09749303451178,Georgia Tech,Georgia Tech,,,,78ea3e5c-9896-46ac-91d6-dcebd86a1f24,777688d0-89fe-4940-8142-4b55a38cda3d,58.64458788023957,2.0861298937405923,0.4312507478595185,6.677026778274384,-1.1207115290191207,53.734336960830866,3.5502291586067147,-0.5184969187091499,-2.246190230659004,-2.042956674673775,0.4342058431178316,-3.0437408772816257,2.960985946083873,-71.89613684687039,,581.8626842704255,-1779.80480746615,31.074050652147694,-0.16967855573751822,-0.950494785681003,0.26032450924961703,,,,,,,,,,,,,,,,,1.0,0,,,high,high,,,37.00000137600001,Makayla Coffield,coffima10,Georgia tech,2022-11
