PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,HitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUUID,yt_RelSpeed,yt_RelHeight,yt_RelSide,yt_VertRelAngle,yt_HorzRelAngle,yt_ZoneSpeed,yt_PlateLocHeight,yt_PlateLocSide,yt_VertApprAngle,yt_HorzApprAngle,yt_ZoneTime,yt_HorzBreak,yt_InducedVertBreak,yt_OutOfPlane,yt_FSRI,yt_EffectiveSpin,yt_GyroSpin,yt_Efficiency,yt_SpinComponentX,yt_SpinComponentY,yt_SpinComponentZ,yt_HitVelocityX,yt_HitVelocityY,yt_HitVelocityZ,yt_HitLocationX,yt_HitLocationY,yt_HitLocationZ,yt_GroundLocationX,yt_GroundLocationY,yt_HitBreakX,yt_HitBreakY,yt_HitBreakT,yt_HitSpinComponentX,yt_HitSpinComponentY,yt_HitSpinComponentZ,yt_SessionName,Note,yt_PitchSpinConfidence,yt_PitchReleaseConfidence,yt_HitSpinConfidence,yt_EffectiveBattingSpeed,yt_ReleaseAccuracy,yt_ZoneAccuracy,yt_SeamLat,yt_SeamLong,yt_ReleaseDistance,Catcher,CatcherId,CatcherTeam,yt_AeroModel
1,9/20/24,12:45:56 PM,1,1,Jaidyn Studebaker,studeja10,,Georgia tech,Lillian Martineau,,Left,Georgia tech,,1,Top,0,0,0,,,InPlay,,Bunt,Sacrifice,1,0,,63.56793177293696,3.950464352883579,0.7873144747775963,,,,1.853606192568542,0.41289935648108106,5.620181478,,,,1.8869272240966812,0.4504735876738738,59.99794777824837,-4.74820822,-0.290045995,,,,,,,,,,,,,,,,,,,,,,,,Georgia Tech,Georgia Tech,,,,d96481eb-9f00-48e4-b672-d385a84d84fa,b21e1773-ad71-405a-b3d6-ed99d1bb6d57,63.65946961713272,1.8499874069486237,0.4128993564810845,4.0126974398857795,0.7873144747775869,60.06459104037609,1.8899266581673047,0.4504735876738736,-4.683235446,-0.290045995,0.4023552823937109,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,high,high,,,37.37981989834862,Reese Hunter,huntere10,Georgia tech,2022-11
2,9/20/24,12:46:28 PM,2,1,Jaidyn Studebaker,studeja10,,Georgia tech,Kaya Booker,,,Georgia tech,,1,Top,1,0,0,,,BallCalled,,,,,,,62.50011809539412,8.214150371,-1.507815449,1289.054463704427,127.26991537890598,10:15,2.033827287,0.3100088710950478,5.999999999999997,-29.2151006,2.969470609715742,-0.804555213,4.737622333598802,-0.693676911,57.02512853971866,0.10064676714264391,-1.732713394,0.4083150484984155,,,,,,,,,,,,0.4052149883340894,0.5360075225994335,-0.644157404,50,-0.135483352,2.3382667557486685,-93.15293312,17.581968610254183,0.3468075724774044,17.380035850381937,-31.71530183,Georgia Tech,Georgia Tech,,,,d96481eb-9f00-48e4-b672-d385a84d84fa,bf7fce3b-75c5-471b-bb1a-1f367cab2fba,62.61174427161722,2.030527,0.3127404365010326,8.269935929371067,-1.556276386,57.10510979,4.740491493367422,-0.695596226,0.16373522425180223,-1.774113314,0.40821368395933233,-0.49894956,1.722969783792573,-80.18593988,,219.72100416699277,-1270.190573,17.045129616600402,-0.103220299,-0.985366102,0.1356437030438167,,,,,,,,,,,,,,,,,1,0,,,high,high,,,37.00000137600001,Reese Hunter,huntere10,Georgia tech,2022-11
3,9/20/24,12:46:47 PM,2,2,Jaidyn Studebaker,studeja10,,Georgia tech,Kaya Booker,,,Georgia tech,,1,Top,1,1,0,,,Foul,,,,,,,66.14911684,5.529994795432436,-0.899043672,,,,1.3949045702281213,0.618131566,1.2074201062292538,,,,2.0707522909019174,0.5702477215139339,61.05464051591866,-4.570118909,0.6377352562139531,,,,,,,,,,,,,,,,,,,,,,,,Georgia Tech,Georgia Tech,,,,d96481eb-9f00-48e4-b672-d385a84d84fa,9088c18d-06a9-47f8-9de6-185624e3f8e4,66.27984826744819,1.3893364565599036,0.6181315664062619,5.605936822998164,-0.899043672,61.14304838950971,2.074789529759359,0.5702477215139347,-4.489448219,0.6377352562139644,0.43713012030824844,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,high,high,,,41.79258126977075,Reese Hunter,huntere10,Georgia tech,2022-11
4,9/20/24,12:47:07 PM,2,3,Jaidyn Studebaker,studeja10,,Georgia tech,Kaya Booker,,,Georgia tech,,1,Top,1,1,1,,,InPlay,,GroundBall,Double,0,1,,64.13054900561744,4.2380288576339336,-0.181904207,,,,1.8534278871619556,0.3576238627195723,5.646144736733156,,,,1.7550617194949854,0.3859891007022989,59.15906429820892,-5.414873166,0.15294917316448253,,43.49083838447481,-15.64292098,57.16335240945509,,,,,8.365002180541287,,33.917034836643275,0.10562069469500275,,,,,,,,,,,,Georgia Tech,Georgia Tech,,,,d96481eb-9f00-48e4-b672-d385a84d84fa,ba492b1a-0399-415f-8b2e-fce7a10c64c0,64.22354976316443,1.8498646963000605,0.35762386271957275,4.299123301415469,-0.181904207,59.22387026869981,1.7582233513848182,0.3859891007022992,-5.347321862,0.15294917316448628,0.3986315211845014,,,,,,,,,,,35.18838980855202,22.709237912639114,-11.72692455,-0.516773527,3.450494531167593,1.9432147433626132,4.667603113801674,6.941667137834355,,,,,,,,,,1,,14.916838425040227,high,high,,,37.353856639266844,Reese Hunter,huntere10,Georgia tech,2022-11
5,9/20/24,12:47:47 PM,3,1,Jaidyn Studebaker,studeja10,,Georgia tech,Emma Minghini,minghem10,,Georgia tech,,1,Top,1,0,0,,,StrikeCalled,,,,,,,64.91027571,2.3548294635431377,-1.02555868,,,,1.8425258855163427,0.47693773443703225,5.390794262981442,,,,1.7355969592499796,0.21434850063871821,59.045716116749716,-4.233914247,-0.353150515,,,,,,,,,,,,,,,,,,,,,,,,Georgia Tech,Georgia Tech,,,,d96481eb-9f00-48e4-b672-d385a84d84fa,2441a2eb-5471-493a-8d5a-9aed31072abc,65.00114452131461,1.8389629540429966,0.476937734,2.415574560183438,-1.02555868,59.11366047839578,1.7387898900530163,0.21434850063871838,-4.16550855,-0.353150515,0.401834825,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,high,high,,,37.60920711301856,Reese Hunter,huntere10,Georgia tech,2022-11
6,9/20/24,12:48:05 PM,3,2,Jaidyn Studebaker,studeja10,,Georgia tech,Emma Minghini,minghem10,,Georgia tech,,1,Top,1,0,1,,,BallCalled,,,,,,,65.30124556678358,3.5837096949878773,1.9007884522902527,,,,1.409219212,0.069814196,-1.959859936,,,,0.167775902,0.8011955569530363,60.425085050353836,-7.896468574,0.8361275929750254,,,,,,,,,,,,,,,,,,,,,,,,Georgia Tech,Georgia Tech,,,,d96481eb-9f00-48e4-b672-d385a84d84fa,375058f6-54db-4df6-9051-c2bf6d19b976,65.44373145067614,1.4019789600139625,0.069814196,3.674620780765972,1.9007884522902774,60.516306041556064,0.17309392510693267,0.8011955569530362,-7.800782215,0.8361275929750241,0.4780720199173754,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,high,high,,,44.95986131221755,Reese Hunter,huntere10,Georgia tech,2022-11
7,9/20/24,12:48:27 PM,3,3,Jaidyn Studebaker,studeja10,,Georgia tech,Emma Minghini,minghem10,,Georgia tech,,1,Top,1,1,1,,,Foul,,,,,,,66.49550362788645,3.055611330890855,-2.350250392,,,,1.6867998717608876,0.4778360539385613,4.547961569981342,,,,1.5318907738510565,-0.285361313,59.677834695162666,-3.967166008,-1.582021394,,,,,,,,,,,,,,,,,,,,,,,,Georgia Tech,Georgia Tech,,,,d96481eb-9f00-48e4-b672-d385a84d84fa,9cd565a5-0516-424b-9cc2-a1b092ffcf6a,66.59718664226327,1.682881601051389,0.47783605393855844,3.1176241948938768,-2.350250392,59.75101917124717,1.5352684843181272,-0.285361313,-3.896570807,-1.582021394,0.40643134457582214,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,high,high,,,38.45203980601866,Reese Hunter,huntere10,Georgia tech,2022-11
8,9/20/24,12:48:52 PM,3,4,Jaidyn Studebaker,studeja10,,Georgia tech,Emma Minghini,minghem10,,Georgia tech,,1,Top,1,1,2,,,InPlay,,GroundBall,Out,1,0,,64.51619218741952,5.759666549754703,-0.928091579,1335.8197875976564,179.34362833424095,12:00,1.2904588864017785,0.5359294400533644,0.3894993355083052,-26.40957971,15.04033005,0.2423697391877782,3.162550043600854,0.7948081826892193,57.75488383737176,-1.195877837,1.3983107910371706,0.4586127224300598,33.36500649420894,-25.91671625,29.32333765032246,1456.7817121233259,,,,6.9998811267769465,,17.886701964199055,0.1263336087152626,-0.6429399,11.462833772862554,-0.656464543,50.000000000000014,0.48439332686074155,1.569909544,-95.59814089,11.200386461687959,-0.577378234,18.80021740583529,-21.88010031,Georgia Tech,Georgia Tech,,,,d96481eb-9f00-48e4-b672-d385a84d84fa,34f0f54c-2426-49b5-bb0a-d2fb32a56b93,64.68965332250819,1.290768332,0.5382217489357499,5.753493766765598,-0.958932745,57.88895816074182,3.1634349136766318,0.7932635612545046,-1.177471613,1.3689346980183974,0.4584010135055472,0.4774790637557805,13.63603319011725,-38.23576388,,1049.247340282911,-826.7372762,78.54707274323893,-0.785419187,-0.618898809,0.008998035,14.696780107771286,26.164376872244432,-14.5826505,-0.676422988,1.8611338505195727,3.0782189930047084,2.1499137375977497,6.661546870652234,-0.024257401,-0.051547497,-0.010961058,-0.927363245,-0.275877715,0.2527625309248189,,,1,1,1,10.38125730033577,high,high,,,42.610502040491696,Reese Hunter,huntere10,Georgia tech,2022-11
9,9/20/24,12:49:40 PM,4,1,Jaidyn Studebaker,studeja10,,Georgia tech,Makayla Coffield,coffima10,,Georgia tech,,1,Top,2,0,0,,,BallCalled,,,,,,,62.21016069000575,0.42360436029633836,-0.770557734,,,,1.7627247413626548,0.17189046298948635,5.999999999999997,,,,-0.52074821,-0.306690458,57.94701580065808,-8.068348226,-0.770557734,,,,,,,,,,,,,,,,,,,,,,,,Georgia Tech,Georgia Tech,,,,d96481eb-9f00-48e4-b672-d385a84d84fa,16379abe-995c-4253-bf18-f69f8dc916f0,62.28736488289894,1.759314333988652,0.17189046298948665,0.485999606,-0.770557734,58.007826564520464,-0.516953171,-0.306690458,-7.993467573,-0.770557734,0.40572272634041645,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,high,low,,,37.00000137600001,Reese Hunter,huntere10,Georgia tech,2022-11
10,9/20/24,12:50:02 PM,4,2,Jaidyn Studebaker,studeja10,,Georgia tech,Makayla Coffield,coffima10,,Georgia tech,,1,Top,2,1,0,,,BallCalled,,,,,,,65.58226442757099,1.631580044507008,1.079355943717516,,,,1.7662372488829259,0.3562765217860117,5.999999999999997,,,,0.24641743205605549,0.5506302277827028,61.61578763455685,-7.307095207,0.6919894622341031,,,,,,,,,,,,,,,,,,,,,,,,Georgia Tech,Georgia Tech,,,,d96481eb-9f00-48e4-b672-d385a84d84fa,1568aa1a-2afa-447b-99f0-d4ab18062351,65.66824554278669,1.7630386842586352,0.35627652178601044,1.6883966875496592,1.0793559437175257,61.67810092038708,0.2492584847293863,0.550630228,-7.246351947,0.6919894622341107,0.38501007372882723,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,high,high,,,37.00000137600001,Reese Hunter,huntere10,Georgia tech,2022-11
