PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,HitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUUID,yt_RelSpeed,yt_RelHeight,yt_RelSide,yt_VertRelAngle,yt_HorzRelAngle,yt_ZoneSpeed,yt_PlateLocHeight,yt_PlateLocSide,yt_VertApprAngle,yt_HorzApprAngle,yt_ZoneTime,yt_HorzBreak,yt_InducedVertBreak,yt_OutOfPlane,yt_FSRI,yt_EffectiveSpin,yt_GyroSpin,yt_Efficiency,yt_SpinComponentX,yt_SpinComponentY,yt_SpinComponentZ,yt_HitVelocityX,yt_HitVelocityY,yt_HitVelocityZ,yt_HitLocationX,yt_HitLocationY,yt_HitLocationZ,yt_GroundLocationX,yt_GroundLocationY,yt_HitBreakX,yt_HitBreakY,yt_HitBreakT,yt_HitSpinComponentX,yt_HitSpinComponentY,yt_HitSpinComponentZ,yt_SessionName,Note,yt_PitchSpinConfidence,yt_PitchReleaseConfidence,yt_HitSpinConfidence,yt_EffectiveBattingSpeed,yt_ReleaseAccuracy,yt_ZoneAccuracy,yt_SeamLat,yt_SeamLong,yt_ReleaseDistance,Catcher,CatcherId,CatcherTeam,yt_AeroModel
1,10/15/24,2:24:18 PM,1,1,Jaidyn Studebaker,studeja10,,Georgia tech,Ella Edgmon,edgmoel10,,Georgia tech,,1,Top,0,0,0,Fastball,,BallCalled,,,,,,,62.72770857648352,2.3678503364822614,2.3705163326856398,1161.4548583984376,352.5966530183284,5:45,1.7588727261971129,0.26196939583457135,5.569396587821533,-41.27271442,-9.065149441,0.9606032794578272,0.25239920467496885,0.9829120905584339,58.29423915236043,-8.943965203,1.117483953843414,0.4087673712820251,,,,,,,,,,,,-0.259696388,-11.4783153,0.24938891706250954,50,0.8607428291941457,-3.771383659,-94.3143235,9.500653361551374,-0.226995164,18.297395847012538,-42.20700414,Georgia Tech,Georgia Tech,,,,2f43d154-7aef-41a1-aaf7-e8057b7979e7,d7770304-caa1-4115-a89e-b1c47e71353d,62.75443499135627,1.7517270077192064,0.2642996011696095,2.4938348624579696,2.3291685913851117,58.29207365513429,0.2579688369405814,0.9810789353801379,-8.827471576,1.078336804847867,0.40874386966350906,1.2451311114080337,-10.79704893,-33.20713206,,971.7848022000148,-636.0909419,83.66961446439993,0.8297211418505246,-0.547667382,-0.107811248,,,,,,,,,,,,,,,,,1,1,,,high,high,,,37.43060478817847,Caroline Patterson,,Georgia tech,2022-11
2,10/15/24,2:25:00 PM,1,2,Jaidyn Studebaker,studeja10,,Georgia tech,Ella Edgmon,edgmoel10,,Georgia tech,,1,Top,0,1,0,Riseball,,BallCalled,,,,,,,61.570001175183286,5.461787711720143,0.9697044800571681,1117.9535086495534,179.68916209017829,12:00,2.131409339141786,-0.251890411,5.999999999999997,-28.37577012,4.380478141583442,0.29607249367036076,3.169584376123874,0.37507123219400906,56.574698319524686,-2.455219206,1.0524861031685564,0.4119254259470818,,,,,,,,,,,,-0.004084791,3.185900864044796,0.46896886211174393,49.99999999999997,0.604391497,-1.520829395,-92.3028483,12.80453109751005,-0.003434873,16.97818410070669,-29.49504681,Georgia Tech,Georgia Tech,,,,2f43d154-7aef-41a1-aaf7-e8057b7979e7,d9c075c5-3f6c-41da-bfae-4d86984cf8c6,61.67728944079168,2.1286763286140915,-0.249122005,5.508862550515079,0.9201317279580659,56.65356099238632,3.1721242244065233,0.37304758881259165,-2.399596808,1.0089843005624302,0.411819218,0.6081121324623616,3.1829964103476738,-74.14096231,,305.50490218557854,-1075.400764,27.327156256669134,-0.273267541,-0.961936928,0.001482531,,,,,,,,,,,,,,,,,1,0,,,high,high,,,37.00000137600001,Caroline Patterson,,Georgia tech,2022-11
3,10/15/24,2:25:19 PM,1,3,Jaidyn Studebaker,studeja10,,Georgia tech,Ella Edgmon,edgmoel10,,Georgia tech,,1,Top,0,2,0,Riseball,,BallCalled,,,,,,,61.637306220149014,1.619084826063428,0.4820769920174108,954.0518290201821,227.31595226482082,1:30,1.7613915913193414,0.33646328807706044,5.999999999999997,-28.32139388,4.069984856684439,2.834959599,0.7678900802590596,0.055325990066717484,56.00811277228139,-6.076321868,-0.847107088,0.40962479732771323,,,,,,,,,,,,-3.142774067,4.1871430026314815,-0.255456499,49.999999999999986,1.1104485872254164,-0.380926994,-92.78392305,6.616332296298299,-2.672399663,17.059465679126042,-28.61359016,Georgia Tech,Georgia Tech,,,,2f43d154-7aef-41a1-aaf7-e8057b7979e7,8b0b9422-6ec3-472d-a173-64e5f5d41526,61.72598455318026,1.7589975919891918,0.3393703585611034,1.6626902256353078,0.4278187050176109,56.07726157286989,0.77038831,0.052825644,-6.022088245,-0.900812837,0.4095267900073439,3.1702495307316916,2.9397616757082865,-66.80616014,,375.7467081323724,-876.9431588,39.384307718194606,-0.267007895,-0.919177693,-0.289515377,,,,,,,,,,,,,,,,,1,0,,,high,high,,,37.00000137600001,Caroline Patterson,,Georgia tech,2022-11
4,10/15/24,2:25:37 PM,1,4,Jaidyn Studebaker,studeja10,,Georgia tech,Ella Edgmon,edgmoel10,,Georgia tech,,1,Top,0,3,0,Riseball,,StrikeCalled,,,,,,,61.72445031933025,4.541945243210868,-0.533202329,992.5277840750559,177.63802437114825,12:00,1.8004297822231259,0.3431307971334878,5.999999999999997,-27.55289676,4.556416356,-0.064769577,2.323890215590408,-0.831185469,57.21985580840849,-3.574328722,-1.461189772,0.41027057228302954,,,,,,,,,,,,-0.218927841,3.5107657143005335,-0.464380357,50.00000000000001,0.48644805486528503,0.8661986694463418,-92.67290935,11.319212059976667,-0.185582627,17.108812511752838,-29.19801365,Georgia Tech,Georgia Tech,,,,2f43d154-7aef-41a1-aaf7-e8057b7979e7,83ad043e-aa46-481a-9951-0f173b69cf6f,61.82157902272481,1.798063858307216,0.3452700527173291,4.5859248819939635,-0.574189968,57.29750275075278,2.326375105813057,-0.832945686,-3.520295732,-1.498832445,0.4101675928744677,0.20439435847767057,3.395680198757661,-74.5544338,,264.33272712324856,-956.6815622,26.63227482,-0.266096481,-0.963883911,0.010975846558890627,,,,,,,,,,,,,,,,,1,0,,,high,high,,,37.00000137600001,Caroline Patterson,,Georgia tech,2022-11
5,10/15/24,2:25:54 PM,1,5,Jaidyn Studebaker,studeja10,,Georgia tech,Ella Edgmon,edgmoel10,,Georgia tech,,1,Top,0,3,1,Riseball,,BallCalled,Walk,,Walk,0,0,,63.70289890776782,1.7861996196369625,0.031870302,,,,1.7345309156898825,0.3866459983622829,5.999999999999997,,,,0.5761369057971404,0.3259467359067417,58.012830617727055,-6.630015409,-0.074034498,,,,,,,,,,,,,,,,,,,,,,,,Georgia Tech,Georgia Tech,,,,2f43d154-7aef-41a1-aaf7-e8057b7979e7,893911f5-e9d0-4a13-8cb1-756b8764b585,63.78499812610335,1.7313282087136128,0.38664599836228286,1.8452761227409273,0.031870302,58.071998808902634,0.5793546000741541,0.32594673590674167,-6.561312961,-0.074034498,0.3963387,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,high,high,,,37.00000137600001,Caroline Patterson,,Georgia tech,2022-11
6,10/15/24,2:26:24 PM,2,1,Jaidyn Studebaker,studeja10,,Georgia tech,Paige Vukadinovich,vukadpa10,,Georgia tech,,1,Top,0,0,0,Fastball,,BallCalled,,,,,,,63.43602032252072,7.066686481232097,1.7778594901496725,1037.181012471517,330.38147395184535,5:00,1.7671795173380056,0.3700935816114585,5.493970960959187,-34.13399226,-2.55544017,2.3671725316245076,3.647961109187482,1.1988992296879921,58.47015918,-2.53947933,2.4185317409910487,0.4069964364628804,,,,,,,,,,,,-2.145663394,-5.437113664,-0.004176995,50.000000000000064,-0.093089794,-2.610755886,-94.66324859,16.389709751470157,-1.899024732,17.768564297046183,-36.98618058,Georgia Tech,Georgia Tech,,,,2f43d154-7aef-41a1-aaf7-e8057b7979e7,d65cc4bd-e5ff-48c7-8ecb-af20b322556a,63.517198058843626,1.7623702160803787,0.3737819846315635,7.149544598969563,1.7127135963182194,58.522705386895105,3.652032274051492,1.196116464124118,-2.452589657,2.359621464764729,0.4069200357987277,2.7977629844719742,-3.937228597,-70.42184468,,347.5514380040861,-977.2166856,33.50923646161817,0.29130757863953755,-0.942185283,-0.165610348,,,,,,,,,,,,,,,,,1,1,,,high,high,,,37.50603041504082,Caroline Patterson,,Georgia tech,2022-11
7,10/15/24,2:26:41 PM,2,2,Jaidyn Studebaker,studeja10,,Georgia tech,Paige Vukadinovich,vukadpa10,,Georgia tech,,1,Top,0,1,0,,,BallCalled,,,,,,,64.64901752936211,5.3706516326753215,2.760664128700406,,,,1.3425865755552628,0.11092471674159862,0.7012262367160569,,,,1.5745987057837372,1.930818877327652,59.25981790738659,-5.660931075,3.3895161613770903,,,,,,,,,,,,,,,,,,,,,,,,Georgia Tech,Georgia Tech,,,,2f43d154-7aef-41a1-aaf7-e8057b7979e7,c66b3dad-044e-42f0-8a18-2641c75be75b,64.77996300514619,1.3364749124059871,0.11092471674159908,5.452336919569581,2.760664128700401,59.34447733,1.5791506776521225,1.9308188773276553,-5.573078884,3.3895161613771263,0.453493972,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,high,high,,,42.29877513928395,Caroline Patterson,,Georgia tech,2022-11
8,10/15/24,2:27:10 PM,2,3,Jaidyn Studebaker,studeja10,,Georgia tech,Paige Vukadinovich,vukadpa10,,Georgia tech,,1,Top,0,2,0,Riseball,,StrikeCalled,,,,,,,63.069074092404065,3.583353574997136,-1.641769945,1104.229120427912,182.63161961101443,12:00,1.699143413621113,0.44832787175782235,5.999999999999997,-22.93862957,9.455503891715427,0.2351234487749146,1.4814973047832656,-0.250936921,57.03116487,-4.073244255,-1.769871515,0.40123340843956096,,,,,,,,,,,,-1.120307792,9.584716179,-0.82556208,49.99999999999995,0.6668307584058217,2.783030296468978,-94.7751978,9.072625953873207,-0.99294928,17.933222696463005,-23.67894039,Georgia Tech,Georgia Tech,,,,2f43d154-7aef-41a1-aaf7-e8057b7979e7,90d18db4-fa2e-499e-afd1-388e9aaef460,63.17805860450975,1.6984024312192074,0.44976272717838095,3.596388212911292,-1.669151539,57.119738044062366,1.482755426243266,-0.252155337,-4.044974689,-1.796284263,0.4011192028972108,0.424943498,8.474390560473912,-48.34142544,,733.9704384,-824.9905126,66.46903481074281,-0.663989355,-0.74711896,-0.030518778,,,,,,,,,,,,,,,,,1,0,,,high,high,,,37.00000137600001,Caroline Patterson,,Georgia tech,2022-11
9,10/15/24,2:27:26 PM,2,4,Jaidyn Studebaker,studeja10,,Georgia tech,Paige Vukadinovich,vukadpa10,,Georgia tech,,1,Top,0,2,1,Changeup,,Foul,,,,,,,53.12304511432863,5.410275373021844,1.1760043112818621,961.6147367037258,79.50714033454551,8:45,1.711759236187118,0.3855928328468048,5.010395295527645,-46.97723626,0.5302765483790708,-7.674605104,1.3038425689174178,0.5319342737599646,48.655981428063555,-7.935658593,-0.718747683,0.4911457358160779,,,,,,,,,,,,9.057614144447857,-1.433778749,-0.075980813,50.000000000000014,0.20103367448344012,-2.455888896,-79.47265322,12.404869090376028,5.6474957010942575,12.565873171705894,-33.06802224,Georgia Tech,Georgia Tech,,,,2f43d154-7aef-41a1-aaf7-e8057b7979e7,d3c01c6d-6111-4556-8ba6-ab00d36375cd,53.19341699848044,1.706070027178029,0.3793021540836493,5.503199011437307,1.2817334229643187,48.68841570400292,1.3085569472375937,0.5364943747693769,-7.836913555,-0.622477102,0.49105478687072157,-8.388377513,-1.38021859,50.489984116923544,,611.7918852100086,741.8986393281494,63.62130922693026,0.11586266758306306,0.7715133836979964,0.6255740891656277,,,,,,,,,,,,,,,,,1,1,,,high,high,,,37.989606080472356,Caroline Patterson,,Georgia tech,2022-11
10,10/15/24,2:27:47 PM,2,5,Jaidyn Studebaker,studeja10,,Georgia tech,Paige Vukadinovich,vukadpa10,,Georgia tech,,1,Top,0,2,2,Changeup,,StrikeCalled,Strikeout,,StrikeoutLooking,1,0,,53.11125804383753,5.391254450333058,1.0998649229807294,804.5730794270835,20.84873387462447,6:45,1.7515198732343693,0.39963172361639493,5.059702154623058,-45.6899854,0.5072918596486815,-0.328976767,1.6838974804699545,0.4428520129078842,49.197537532730685,-7.304403972,0.1432482934165279,0.4905517395451966,,,,,,,,,,,,0.8407056417447162,-1.17728396,-0.164765794,49.99999999999998,0.23889043368762602,-1.569128255,-79.46886707,12.374208677791671,0.5240987191817921,12.571381273069536,-32.90797236,Georgia Tech,Georgia Tech,,,,2f43d154-7aef-41a1-aaf7-e8057b7979e7,f8929ef5-daf9-43b7-a3b2-989b624f0a68,53.18928237,1.7454703790709953,0.3953196290165565,5.490677110608426,1.1727050527323666,49.23928332353115,1.689013447580844,0.4459740415863206,-7.197622459,0.20868471855963133,0.49044846713035845,-0.810383584,-1.41769247,82.49232264279634,,105.12473577209065,797.6757675068412,13.065902707923978,0.12210390465987213,0.9914273642797573,0.046501804525269516,,,,,,,,,,,,,,,,,1,1,,,high,high,,,37.94029922137695,Caroline Patterson,,Georgia tech,2022-11
